idx,die_code,sleep_pct,load1,load2,tmp0,tmp1,tmp2,tmp3,bpx65_a,bpx65_b,bpw34_a,bpw34_b,n3163_a,n3163_b,adr4525,psram,fram,eeprom
29,35,98,1,0,-1345,-1045,-1579,-820,569,593,554,491,0,0,20479,5,3,2
30,35,94,1,0,-1339,-1047,-1585,-815,535,462,403,423,0,0,20481,2,1,3
31,35,94,1,0,-1344,-1036,-1568,-819,601,488,485,415,0,0,20487,1,4,1
32,36,95,1,1,-1334,-1040,-1579,-820,652,635,560,420,0,0,20482,1,1,1
33,36,97,1,0,-1345,-1039,-1576,-810,580,672,648,506,0,0,20487,5,3,4
34,36,97,1,0,-1343,-1022,-1570,-806,701,626,613,447,0,0,20477,5,5,4
35,36,98,1,0,-1340,-1021,-1561,-805,648,525,689,533,0,0,20483,2,4,3
36,36,97,1,0,-1334,-1023,-1565,-808,616,535,701,496,0,0,20477,3,2,1
37,36,96,1,0,-1335,-1029,-1567,-812,802,644,489,564,0,0,20475,3,1,5
38,36,96,1,0,-1321,-1019,-1557,-808,698,590,512,528,0,0,20485,2,3,2
39,36,95,1,0,-1323,-1019,-1553,-800,766,756,464,548,0,0,20478,4,2,5
40,36,97,1,1,-1328,-1021,-1546,-803,815,625,729,643,0,0,20484,5,2,4
41,36,96,1,0,-1315,-1020,-1545,-792,683,785,661,573,0,0,20472,1,3,2
42,36,97,1,0,-1312,-1005,-1554,-793,812,797,526,726,0,0,20478,4,3,2
43,36,98,1,0,-1315,-1009,-1554,-787,713,790,532,685,0,0,20485,2,4,3
44,36,98,1,0,-1306,-1001,-1552,-794,888,903,569,756,0,0,20488,3,5,3
45,36,96,1,0,-1312,-1004,-1538,-788,845,840,772,760,0,0,20485,3,2,5
46,36,95,1,0,-1315,-1008,-1538,-792,956,933,691,638,0,0,20479,4,4,1
47,36,95,1,0,-1306,-1003,-1529,-780,791,829,727,725,0,0,20472,1,4,3
48,36,96,1,1,-1308,-990,-1541,-784,889,913,760,771,0,0,20480,1,2,5
49,36,97,1,0,-1300,-992,-1529,-775,1016,860,653,676,0,0,20477,4,2,1
50,36,95,1,0,-1291,-986,-1527,-771,1007,1002,747,860,0,0,20477,2,3,2
51,36,98,1,0,-1290,-997,-1532,-773,863,891,819,782,0,0,20478,3,3,4
52,36,94,1,0,-1301,-985,-1529,-766,1082,1021,887,878,0,0,20479,3,1,4
53,36,95,1,0,-1298,-990,-1524,-765,1104,1003,914,831,1,0,20487,5,4,3
54,36,97,1,0,-1287,-979,-1517,-770,906,932,753,800,0,0,20488,3,3,2
55,36,96,1,0,-1286,-986,-1515,-756,1097,914,1005,822,0,1,20488,4,2,1
56,36,96,1,1,-1281,-981,-1511,-768,1162,1040,852,896,0,0,20487,3,5,5
57,36,95,1,0,-1281,-970,-1517,-765,1079,1133,945,911,0,0,20479,5,3,2
58,36,96,1,0,-1283,-968,-1509,-750,978,1075,953,986,0,0,20472,3,2,2
59,36,97,1,0,-1280,-970,-1509,-760,1039,1167,908,940,0,0,20485,2,5,3
60,36,97,1,0,-1279,-974,-1506,-749,1009,1074,1024,964,0,0,20475,4,3,2
61,36,98,1,0,-1266,-958,-1510,-752,1032,1136,865,890,0,0,20488,1,2,5
62,36,98,1,0,-1267,-966,-1507,-747,1182,1145,829,975,0,0,20475,2,4,2
63,36,98,1,0,-1269,-958,-1496,-748,1184,1248,1058,1019,0,0,20488,5,5,5
64,36,94,1,1,-1273,-965,-1492,-741,1247,1230,911,911,0,0,20473,4,4,2
65,36,95,1,0,-1259,-960,-1497,-741,1211,1072,1067,923,0,0,20474,2,3,3
66,36,98,1,0,-1268,-961,-1497,-733,1251,1300,1020,1090,0,0,20482,1,5,2
67,36,96,1,0,-1260,-957,-1493,-740,1347,1265,1151,1099,0,0,20480,1,4,3
68,36,95,1,0,-1253,-956,-1486,-735,1330,1324,961,1118,0,0,20480,2,5,1
69,36,97,1,0,-1256,-954,-1490,-731,1179,1147,1105,1075,0,0,20480,5,5,2
70,36,97,1,0,-1247,-936,-1479,-721,1395,1390,1066,1165,0,0,20482,3,2,4
71,36,95,1,0,-1241,-946,-1483,-716,1294,1250,1127,1138,0,0,20488,3,4,3
72,36,98,1,1,-1238,-931,-1478,-728,1413,1304,1068,1170,0,0,20486,2,3,2
73,36,97,1,0,-1246,-935,-1466,-719,1425,1434,1085,1100,0,0,20486,2,5,5
74,36,98,1,0,-1236,-942,-1464,-710,1404,1255,1045,1187,0,0,20477,4,1,2
75,36,94,1,0,-1245,-928,-1474,-710,1457,1335,1277,1082,0,1,20484,3,1,4
76,36,96,1,0,-1236,-927,-1468,-713,1457,1400,1201,1250,0,0,20472,4,4,2
77,36,96,1,0,-1236,-927,-1464,-707,1441,1381,1062,1112,0,0,20477,1,1,1
78,36,94,1,0,-1233,-927,-1457,-705,1475,1449,1180,1235,0,0,20473,5,1,3
79,36,96,1,0,-1234,-914,-1456,-700,1362,1437,1347,1201,0,0,20484,2,4,3
80,36,95,1,1,-1227,-914,-1463,-697,1593,1356,1232,1270,0,0,20476,5,2,4
81,36,97,1,0,-1216,-923,-1462,-698,1624,1447,1240,1315,0,0,20474,1,5,2
82,36,96,1,0,-1214,-908,-1457,-694,1597,1603,1390,1266,0,0,20472,3,3,4
83,36,97,1,0,-1213,-916,-1457,-694,1473,1416,1259,1218,0,0,20488,4,2,2
84,36,95,1,0,-1209,-912,-1447,-697,1473,1548,1239,1261,0,0,20482,3,1,5
85,37,94,1,0,-1208,-902,-1449,-688,1680,1479,1190,1344,0,0,20482,5,5,1
86,37,94,1,0,-1216,-898,-1442,-679,1571,1494,1347,1409,1,0,20472,1,3,3
87,37,94,1,0,-1203,-907,-1438,-685,1646,1474,1519,1298,0,0,20476,4,1,3
88,37,94,1,1,-1208,-906,-1436,-682,1741,1608,1391,1337,0,0,20485,1,4,5
89,37,95,1,0,-1198,-896,-1434,-680,1721,1666,1313,1428,0,0,20482,2,1,1
90,37,95,1,0,-1196,-891,-1427,-672,1787,1518,1553,1353,0,0,20487,5,5,3
91,37,95,1,0,-1201,-897,-1436,-681,1695,1674,1327,1341,0,0,20481,4,4,4
92,37,95,1,0,-1203,-889,-1427,-676,1667,1590,1567,1355,0,0,20477,3,5,1
93,37,97,1,0,-1201,-894,-1420,-667,1652,1699,1323,1397,1,0,20482,4,3,2
94,37,95,1,0,-1189,-880,-1424,-662,1842,1794,1477,1489,0,0,20486,4,5,3
95,37,94,1,0,-1190,-887,-1416,-660,1716,1779,1460,1384,0,0,20479,3,1,5
96,37,95,1,1,-1186,-881,-1415,-661,1760,1782,1555,1470,0,0,20485,2,2,3
97,37,96,1,0,-1179,-883,-1418,-657,1793,1824,1519,1432,0,0,20472,1,5,2
98,37,95,1,0,-1180,-881,-1406,-653,1766,1702,1581,1559,0,0,20484,4,3,5
99,37,98,1,0,-1174,-876,-1411,-651,1930,1706,1465,1488,0,0,20477,1,4,4
100,37,95,1,0,-1182,-867,-1406,-646,1759,1752,1603,1524,0,0,20478,2,3,1
101,37,94,1,0,-1175,-864,-1406,-645,1952,1739,1677,1625,0,1,20477,5,1,5
102,37,95,1,0,-1172,-859,-1409,-643,1970,1895,1535,1647,0,0,20472,1,5,5
103,37,96,1,0,-1162,-860,-1405,-637,1955,1830,1560,1660,0,0,20485,4,5,2
104,37,96,1,1,-1159,-854,-1392,-644,2050,1996,1676,1622,0,0,20484,4,3,3
105,37,94,1,0,-1162,-851,-1394,-633,1864,1962,1659,1540,0,0,20480,3,4,3
106,37,94,1,0,-1163,-847,-1385,-637,1942,2009,1785,1648,0,0,20479,4,2,3
107,37,94,1,0,-1165,-855,-1382,-637,2102,1895,1702,1711,0,0,20481,1,2,5
108,37,95,1,0,-1152,-842,-1391,-637,2070,1896,1843,1648,0,0,20484,4,4,4
109,37,94,1,0,-1162,-842,-1388,-631,1964,2067,1830,1674,0,0,20488,4,2,3
110,37,98,1,0,-1153,-838,-1381,-620,2119,2061,1808,1766,0,0,20487,1,4,3
111,37,98,1,0,-1153,-839,-1372,-625,2107,1985,1676,1745,0,0,20474,3,4,2
112,37,94,1,1,-1147,-842,-1380,-616,2206,1922,1756,1733,0,0,20488,5,2,4
113,37,94,1,0,-1142,-833,-1383,-627,2175,2119,1769,1831,0,0,20474,4,3,5
114,37,97,1,0,-1142,-830,-1380,-611,2247,2113,1781,1845,0,0,20484,2,3,3
115,37,98,1,0,-1147,-836,-1370,-622,2106,2187,1931,1857,0,0,20488,3,5,1
116,37,96,1,0,-1138,-827,-1369,-606,2271,2106,1903,1728,0,0,20475,4,3,5
117,37,96,1,0,-1133,-823,-1369,-616,2223,2016,1966,1788,0,0,20479,1,2,3
118,37,97,1,0,-1129,-820,-1369,-612,2186,2178,1872,1783,0,0,20474,5,3,1
119,37,98,1,0,-1133,-827,-1358,-599,2182,2089,1918,1824,0,0,20475,4,1,2
120,37,94,1,1,-1127,-813,-1361,-608,2253,2290,1837,1818,0,0,20472,2,4,3
121,37,94,1,0,-1131,-817,-1361,-592,2255,2113,2029,1926,0,0,20485,1,3,3
122,37,94,1,0,-1118,-818,-1346,-601,2212,2140,1957,1914,0,0,20486,5,2,5
123,37,97,1,0,-1118,-809,-1342,-592,2370,2283,1926,1908,1,0,20482,4,3,2
124,37,98,1,0,-1122,-815,-1351,-584,2351,2185,1972,2007,0,0,20478,5,5,5
125,37,98,1,0,-1110,-813,-1351,-592,2332,2207,1915,1988,0,0,20481,5,5,2
126,37,94,1,0,-1105,-809,-1337,-593,2455,2261,2068,1923,0,0,20485,2,3,1
127,37,97,1,0,-1110,-807,-1332,-579,2314,2271,2072,1884,0,0,20479,4,2,1
128,37,96,1,1,-1109,-799,-1337,-578,2489,2252,1927,1892,0,0,20481,2,1,2
129,37,95,1,0,-1112,-795,-1328,-573,2291,2370,2117,1906,0,0,20473,3,4,2
130,37,98,1,0,-1101,-793,-1330,-573,2515,2303,2113,2061,0,0,20481,2,2,4
131,37,98,1,0,-1094,-788,-1337,-574,2565,2487,2051,1973,0,0,20488,3,4,2
132,37,97,1,0,-1089,-785,-1320,-579,2517,2434,2001,2102,0,0,20473,5,3,3
133,37,95,1,0,-1086,-793,-1318,-565,2478,2457,2182,2092,0,0,20482,3,3,4
134,37,97,1,0,-1095,-792,-1314,-570,2478,2332,1986,1991,0,0,20478,5,2,2
135,37,95,1,0,-1091,-780,-1313,-560,2593,2361,2091,2115,0,0,20472,4,2,5
136,38,95,1,1,-1091,-780,-1318,-564,2446,2485,2167,2022,0,0,20473,5,3,4
137,38,96,1,0,-1090,-783,-1309,-560,2619,2542,2019,2171,0,0,20479,2,2,3
138,38,95,1,0,-1087,-766,-1316,-556,2539,2412,2071,2139,0,0,20487,1,4,5
139,38,97,1,0,-1082,-769,-1311,-547,2661,2642,2248,2168,0,1,20488,1,2,1
140,38,94,1,0,-1078,-763,-1311,-551,2657,2628,2256,2252,0,0,20479,1,4,2
141,38,94,1,0,-1072,-763,-1300,-546,2564,2473,2187,2112,0,0,20480,5,3,4
142,38,97,1,0,-1067,-763,-1305,-547,2744,2462,2284,2159,0,0,20483,5,5,3
143,38,94,1,0,-1065,-763,-1301,-537,2736,2606,2267,2288,0,0,20472,3,2,3
144,38,98,1,1,-1058,-761,-1297,-547,2791,2713,2291,2156,0,0,20478,3,5,2
145,38,96,1,0,-1062,-762,-1286,-538,2689,2708,2147,2220,0,0,20480,4,2,5
146,38,95,1,0,-1058,-747,-1292,-530,2759,2610,2195,2345,0,0,20473,1,1,3
147,38,96,1,0,-1063,-749,-1293,-538,2732,2778,2187,2353,0,0,20487,4,3,1
148,38,96,1,0,-1060,-749,-1291,-537,2857,2623,2431,2284,0,0,20485,5,2,1
149,38,95,1,0,-1060,-741,-1276,-523,2835,2794,2329,2297,0,0,20481,1,3,3
150,38,97,1,0,-1054,-750,-1276,-526,2755,2837,2255,2307,0,0,20475,5,5,3
151,38,95,1,0,-1043,-748,-1276,-517,2898,2855,2322,2411,0,0,20476,3,2,5
152,38,98,1,1,-1045,-731,-1269,-517,2757,2788,2518,2337,0,0,20487,5,4,5
153,38,97,1,0,-1047,-731,-1267,-510,2961,2789,2468,2338,0,0,20479,1,2,5
154,38,96,1,0,-1043,-739,-1274,-515,2850,2839,2344,2342,0,0,20476,1,5,4
155,38,95,1,0,-1042,-735,-1267,-510,2852,2802,2388,2350,0,0,20474,4,4,5
156,38,95,1,0,-1034,-732,-1261,-513,3015,2897,2504,2491,0,0,20485,3,3,4
157,38,96,1,0,-1036,-728,-1258,-500,2960,2735,2316,2357,0,0,20474,3,1,2
158,38,97,1,0,-1030,-721,-1267,-504,2947,2873,2532,2480,0,0,20475,3,2,3
159,38,97,1,0,-1023,-723,-1256,-500,3007,2942,2613,2430,0,0,20483,4,3,3
160,38,95,1,1,-1026,-715,-1249,-505,3095,2992,2476,2456,0,0,20483,3,3,1
161,38,96,1,0,-1023,-718,-1254,-500,2889,2952,2631,2556,0,0,20472,2,2,4
162,38,96,1,0,-1016,-715,-1255,-494,3083,2894,2662,2463,0,0,20475,1,2,5
163,38,94,1,0,-1013,-713,-1248,-499,2992,2883,2584,2430,0,0,20484,3,3,4
164,38,98,1,0,-1008,-699,-1251,-486,3054,2945,2617,2481,0,0,20475,3,1,1
165,38,98,1,0,-1006,-710,-1233,-483,3039,2979,2701,2565,0,0,20481,3,2,5
166,38,97,1,0,-1016,-705,-1233,-490,3101,3082,2483,2573,0,0,20473,5,1,1
167,38,98,1,0,-1007,-700,-1241,-473,3104,3134,2754,2523,0,1,20474,2,1,3
168,38,94,1,1,-995,-688,-1227,-479,3087,3022,2719,2585,0,0,20481,3,1,1
169,38,98,1,0,-995,-698,-1231,-479,3194,3120,2723,2552,0,0,20476,2,3,5
170,38,98,1,0,-994,-684,-1232,-469,3268,3100,2663,2611,1,0,20476,2,3,4
171,38,94,1,0,-992,-687,-1219,-475,3178,3184,2788,2653,0,0,20478,5,2,2
172,38,96,1,0,-1000,-680,-1227,-471,3167,3055,2588,2589,0,0,20475,4,2,5
173,38,98,1,0,-982,-684,-1224,-471,3192,3228,2653,2736,0,0,20479,3,5,2
174,38,95,1,0,-982,-672,-1212,-458,3322,3103,2760,2602,0,0,20473,3,3,5
175,38,97,1,0,-984,-672,-1221,-458,3222,3106,2648,2699,0,0,20473,5,4,3
176,38,97,1,1,-988,-677,-1208,-452,3292,3224,2840,2701,0,0,20483,2,2,4
177,38,96,1,0,-977,-671,-1213,-453,3338,3236,2776,2663,0,0,20485,5,4,2
178,38,95,1,0,-983,-674,-1211,-454,3339,3188,2694,2813,0,0,20479,3,5,4
179,38,94,1,0,-974,-673,-1202,-450,3251,3202,2950,2831,0,0,20473,4,1,3
180,38,95,1,0,-965,-658,-1202,-439,3453,3343,2763,2768,0,0,20473,3,4,3
181,38,95,1,0,-967,-663,-1203,-446,3482,3299,2834,2746,0,0,20481,4,2,4
182,38,98,1,0,-968,-663,-1192,-437,3366,3286,2853,2795,0,0,20476,1,1,3
183,38,94,1,0,-967,-648,-1195,-441,3345,3236,2830,2763,0,0,20479,5,2,2
184,38,95,1,1,-955,-646,-1196,-428,3336,3318,2781,2876,0,0,20474,3,3,1
185,39,97,1,0,-950,-655,-1182,-425,3523,3377,2752,2859,0,1,20482,4,5,2
186,39,95,1,0,-949,-649,-1181,-432,3367,3361,3005,2822,0,0,20488,3,4,4
187,39,96,1,0,-954,-649,-1182,-436,3568,3325,2906,2823,0,0,20475,2,5,3
188,39,98,1,0,-955,-647,-1188,-429,3619,3350,3045,2834,0,0,20486,5,1,4
189,39,98,1,0,-942,-639,-1175,-429,3616,3491,2859,2923,0,0,20474,4,3,2
190,39,94,1,0,-941,-640,-1183,-415,3588,3330,2958,2940,0,0,20474,3,2,1
191,39,95,1,0,-946,-628,-1177,-420,3510,3387,2974,3025,0,0,20484,5,5,4
192,39,95,1,1,-932,-633,-1166,-407,3572,3469,2883,2917,0,0,20480,3,1,5
193,39,96,1,0,-944,-636,-1167,-405,3620,3554,3043,2990,0,0,20484,3,5,4
194,39,95,1,0,-935,-627,-1159,-416,3726,3506,3118,2987,0,0,20475,1,1,2
195,39,98,1,0,-925,-629,-1158,-399,3595,3487,2990,3025,0,0,20474,3,4,3
196,39,97,1,0,-922,-621,-1156,-408,3603,3532,2937,3051,0,0,20481,1,5,1
197,39,94,1,0,-934,-624,-1159,-406,3658,3688,3119,3111,0,0,20479,2,3,4
198,39,98,1,0,-919,-620,-1147,-398,3680,3659,3085,3007,0,0,20476,5,1,3
199,39,95,1,0,-923,-620,-1157,-394,3800,3501,3167,3052,0,0,20483,4,2,1
200,39,98,1,1,-924,-603,-1142,-389,3756,3541,3015,3106,0,0,20474,4,2,3
201,39,98,1,0,-913,-608,-1144,-385,3681,3748,3006,3156,0,0,20480,3,3,4
202,39,95,1,0,-911,-609,-1144,-386,3855,3780,3137,3118,0,0,20486,3,2,5
203,39,97,1,0,-912,-595,-1148,-380,3684,3698,3125,3075,0,0,20484,5,2,3
204,39,94,1,0,-905,-606,-1139,-377,3919,3654,3092,3067,0,0,20475,1,2,5
205,39,94,1,0,-899,-590,-1134,-380,3759,3718,3203,3190,0,0,20472,5,3,4
206,39,98,1,0,-904,-589,-1135,-373,3754,3830,3324,3208,0,0,20478,5,1,1
207,39,97,1,0,-896,-585,-1136,-379,3851,3839,3188,3132,0,0,20486,5,5,2
208,39,94,1,1,-900,-589,-1132,-372,3824,3821,3307,3276,0,0,20483,4,4,5
209,39,98,1,0,-899,-581,-1125,-371,3972,3820,3270,3180,1,0,20475,5,5,5
210,39,96,1,0,-890,-581,-1121,-362,3917,3820,3412,3303,0,0,20479,2,1,5
211,39,96,1,0,-882,-577,-1113,-371,3820,3791,3414,3203,0,0,20474,2,1,1
212,39,98,1,0,-878,-577,-1111,-357,3896,3922,3275,3262,0,0,20480,3,2,5
213,39,97,1,0,-883,-579,-1121,-366,3995,3949,3257,3351,0,0,20483,3,1,5
214,39,98,1,0,-874,-573,-1104,-358,3990,3809,3432,3285,0,0,20484,2,4,1
215,39,96,1,0,-877,-569,-1110,-359,3889,3994,3493,3242,0,0,20487,1,2,2
216,39,94,1,1,-873,-562,-1097,-346,3986,3951,3260,3366,0,0,20482,1,5,1
217,39,98,1,0,-866,-560,-1096,-345,3991,4020,3385,3390,0,0,20472,1,2,1
218,39,97,1,0,-873,-570,-1100,-347,3947,3868,3311,3343,0,0,20477,3,2,5
219,39,97,1,0,-870,-561,-1099,-344,4192,3848,3312,3359,0,0,20488,4,3,5
220,39,96,1,0,-857,-549,-1097,-334,4069,3913,3502,3377,0,0,20487,2,1,5
221,39,94,1,0,-866,-558,-1094,-339,3996,4062,3331,3447,0,0,20474,3,5,1
222,39,95,1,0,-856,-545,-1094,-327,4227,3935,3362,3416,0,0,20482,5,1,2
223,39,96,1,0,-858,-548,-1081,-333,4076,3952,3579,3366,0,0,20480,4,5,2
224,39,94,1,1,-850,-538,-1085,-328,4289,3996,3437,3538,0,0,20481,2,4,3
225,39,96,1,0,-849,-544,-1088,-333,4144,4034,3645,3408,0,0,20478,4,2,3
226,39,98,1,0,-846,-543,-1080,-326,4249,4040,3436,3472,0,0,20487,5,3,3
227,39,95,1,0,-851,-544,-1073,-321,4263,4230,3612,3550,0,0,20481,1,3,2
228,39,98,1,0,-847,-534,-1070,-322,4265,4088,3660,3571,0,0,20476,2,5,3
229,39,94,1,0,-844,-536,-1075,-314,4241,4210,3585,3562,0,0,20482,2,5,3
230,39,97,1,0,-838,-528,-1071,-317,4252,4251,3621,3614,0,0,20477,3,1,4
231,39,95,1,0,-831,-521,-1068,-305,4209,4252,3747,3551,0,0,20477,2,2,4
232,40,95,1,1,-830,-519,-1054,-301,4204,4315,3743,3602,0,0,20476,3,2,2
233,40,94,1,0,-826,-517,-1064,-309,4255,4273,3694,3500,1,1,20482,5,5,4
234,40,94,1,0,-826,-516,-1064,-308,4449,4249,3723,3628,0,0,20478,1,1,5
235,40,95,1,0,-822,-513,-1055,-294,4469,4172,3696,3644,0,0,20478,1,2,4
236,40,98,1,0,-819,-506,-1052,-298,4402,4364,3755,3584,0,0,20481,2,1,3
237,40,97,1,0,-825,-509,-1053,-287,4323,4297,3617,3718,0,0,20488,3,4,3
238,40,94,1,0,-817,-507,-1053,-290,4467,4272,3817,3579,0,0,20483,4,4,2
239,40,94,1,0,-816,-510,-1040,-284,4448,4298,3604,3694,0,0,20485,3,1,2
240,40,98,1,1,-801,-504,-1041,-291,4565,4461,3849,3661,0,0,20486,2,2,5
241,40,97,1,0,-814,-506,-1032,-287,4576,4277,3856,3684,0,0,20476,4,1,5
242,40,97,1,0,-800,-504,-1040,-280,4517,4341,3656,3666,0,0,20473,5,2,3
243,40,96,1,0,-805,-488,-1034,-275,4621,4416,3826,3790,0,0,20478,3,3,2
244,40,94,1,0,-790,-497,-1036,-269,4655,4407,3715,3788,0,0,20475,2,1,5
245,40,95,1,0,-799,-486,-1018,-270,4661,4374,3978,3808,0,0,20485,1,5,1
246,40,95,1,0,-794,-489,-1031,-272,4649,4451,3972,3740,0,0,20479,5,3,3
247,40,98,1,0,-788,-489,-1016,-264,4644,4404,3857,3841,0,0,20486,5,5,5
248,40,94,1,1,-779,-484,-1025,-261,4688,4459,3821,3752,0,0,20481,1,5,5
249,40,96,1,0,-777,-472,-1018,-254,4683,4393,3840,3750,0,0,20488,5,2,5
250,40,98,1,0,-774,-476,-1017,-258,4652,4530,3763,3875,0,0,20474,2,3,3
251,40,98,1,0,-780,-466,-1004,-262,4760,4441,4027,3946,0,0,20488,2,3,1
252,40,97,1,0,-768,-471,-1005,-252,4633,4672,3922,3825,0,0,20481,2,2,2
253,40,97,1,0,-769,-463,-1006,-248,4737,4543,3845,3850,0,0,20484,4,5,3
254,40,98,1,0,-772,-470,-1002,-244,4675,4529,4016,3829,0,0,20473,2,3,5
255,40,97,1,0,-773,-462,-1006,-243,4837,4617,3965,3946,0,0,20482,5,1,1
256,40,96,1,1,-770,-454,-991,-235,4876,4685,3976,3983,0,0,20478,4,1,3
257,40,98,1,0,-762,-447,-992,-241,4857,4664,4066,4012,0,0,20487,4,2,3
258,40,96,1,0,-753,-451,-996,-237,4770,4663,4071,3957,0,0,20473,4,1,2
259,40,97,1,0,-756,-447,-986,-228,4819,4587,4005,3929,0,0,20488,4,3,5
260,40,94,1,0,-761,-441,-976,-225,4946,4798,4203,4040,0,1,20486,3,5,1
261,40,95,1,0,-748,-437,-980,-220,4810,4744,3960,3972,0,0,20484,1,4,3
262,40,96,1,0,-748,-449,-973,-216,4747,4665,4229,4092,0,0,20486,2,3,1
263,40,95,1,0,-738,-430,-976,-222,4905,4835,4041,4131,0,0,20472,4,2,5
264,40,96,1,1,-739,-438,-976,-225,4960,4774,4021,4009,0,0,20488,2,2,1
265,40,97,1,0,-738,-427,-974,-219,4886,4850,4285,4057,1,0,20485,2,1,2
266,40,97,1,0,-737,-430,-975,-219,4949,4887,4158,4143,0,0,20475,3,4,5
267,40,95,1,0,-737,-422,-972,-217,4981,4845,4106,4027,0,0,20479,3,1,4
268,40,98,1,0,-736,-422,-958,-212,4921,4953,4154,4194,0,0,20473,3,3,2
269,40,94,1,0,-725,-415,-951,-209,4962,4915,4329,4073,0,0,20474,2,5,2
270,40,95,1,0,-718,-424,-960,-209,4916,4784,4244,4231,0,0,20488,2,2,3
271,40,94,1,0,-729,-414,-950,-192,4984,4837,4360,4153,0,0,20485,4,1,5
272,40,98,1,1,-727,-414,-949,-192,5070,4879,4219,4183,0,0,20482,1,3,5
273,40,98,1,0,-712,-408,-950,-199,4966,5029,4258,4118,0,0,20481,4,1,3
274,40,95,1,0,-717,-402,-948,-183,5017,4999,4273,4176,0,0,20483,3,2,5
275,40,97,1,0,-713,-398,-938,-182,5088,4965,4316,4200,0,0,20484,5,1,5
276,40,94,1,0,-712,-399,-942,-191,5212,4875,4276,4312,0,0,20472,1,4,5
277,40,96,1,0,-698,-407,-937,-189,5234,5074,4462,4220,0,0,20488,4,4,5
278,41,95,1,0,-706,-390,-927,-171,5185,4903,4448,4178,0,0,20483,4,5,1
279,41,98,1,0,-694,-392,-936,-182,5212,5023,4432,4195,0,0,20488,4,3,5
280,41,97,1,1,-705,-387,-933,-175,5162,5023,4441,4347,0,0,20481,3,1,2
281,41,95,1,0,-696,-392,-933,-166,5281,4960,4241,4381,0,0,20485,3,1,5
282,41,97,1,0,-688,-380,-930,-160,5149,5187,4315,4399,0,0,20479,1,2,5
283,41,98,1,0,-691,-390,-926,-157,5310,5136,4319,4364,0,0,20476,2,5,5
284,41,98,1,0,-688,-387,-925,-158,5256,5179,4540,4440,0,0,20479,4,2,3
285,41,94,1,0,-681,-383,-917,-159,5211,5252,4509,4390,0,0,20481,3,5,5
286,41,97,1,0,-683,-377,-911,-153,5333,5063,4510,4317,0,0,20482,2,1,5
287,41,96,1,0,-675,-373,-902,-152,5331,5124,4365,4320,0,1,20485,2,3,3
