uptime_s,die_temp_C,sleep_pct,load1,load2,tmp117_0_C,tmp117_1_C,tmp117_2_C,tmp117_3_C,bpx65_a_V,bpx65_b_V,bpw34_a_V,bpw34_b_V,n3163_a,n3163_b,adr4525_V
48,-4,96,1,1,-10.2188,-7.7344,-12.0391,-6.125,0.111125,0.114125,0.095,0.096375,0,0,2.56
49,-4,97,1,0,-10.1562,-7.75,-11.9453,-6.0547,0.127,0.1075,0.081625,0.0845,0,0,2.559625
50,-4,95,1,0,-10.0859,-7.7031,-11.9297,-6.0234,0.125875,0.12525,0.093375,0.1075,0,0,2.559625
51,-4,98,1,0,-10.0781,-7.7891,-11.9688,-6.0391,0.107875,0.111375,0.102375,0.09775,0,0,2.55975
52,-4,94,1,0,-10.1641,-7.6953,-11.9453,-5.9844,0.13525,0.127625,0.110875,0.10975,0,0,2.559875
53,-4,95,1,0,-10.1406,-7.7344,-11.9062,-5.9766,0.138,0.125375,0.11425,0.103875,1,0,2.560875
54,-4,97,1,0,-10.0547,-7.6484,-11.8516,-6.0156,0.11325,0.1165,0.094125,0.1,0,0,2.561
55,-4,96,1,0,-10.0469,-7.7031,-11.8359,-5.9062,0.137125,0.11425,0.125625,0.10275,0,1,2.561
56,-4,96,1,1,-10.0078,-7.6641,-11.8047,-6.0,0.14525,0.13,0.1065,0.112,0,0,2.560875
57,-4,95,1,0,-10.0078,-7.5781,-11.8516,-5.9766,0.134875,0.141625,0.118125,0.113875,0,0,2.559875
58,-4,96,1,0,-10.0234,-7.5625,-11.7891,-5.8594,0.12225,0.134375,0.119125,0.12325,0,0,2.559
59,-4,97,1,0,-10.0,-7.5781,-11.7891,-5.9375,0.129875,0.145875,0.1135,0.1175,0,0,2.560625
60,-4,97,1,0,-9.9922,-7.6094,-11.7656,-5.8516,0.126125,0.13425,0.128,0.1205,0,0,2.559375
61,-4,98,1,0,-9.8906,-7.4844,-11.7969,-5.875,0.129,0.142,0.108125,0.11125,0,0,2.561
62,-4,98,1,0,-9.8984,-7.5469,-11.7734,-5.8359,0.14775,0.143125,0.103625,0.121875,0,0,2.559375
63,-4,98,1,0,-9.9141,-7.4844,-11.6875,-5.8438,0.148,0.156,0.13225,0.127375,0,0,2.561
64,-4,94,1,1,-9.9453,-7.5391,-11.6562,-5.7891,0.155875,0.15375,0.113875,0.113875,0,0,2.559125
65,-4,95,1,0,-9.8359,-7.5,-11.6953,-5.7891,0.151375,0.134,0.133375,0.115375,0,0,2.55925
66,-4,98,1,0,-9.9062,-7.5078,-11.6953,-5.7266,0.156375,0.1625,0.1275,0.13625,0,0,2.56025
67,-4,96,1,0,-9.8438,-7.4766,-11.6641,-5.7812,0.168375,0.158125,0.143875,0.137375,0,0,2.56
68,-4,95,1,0,-9.7891,-7.4688,-11.6094,-5.7422,0.16625,0.1655,0.120125,0.13975,0,0,2.56
69,-4,97,1,0,-9.8125,-7.4531,-11.6406,-5.7109,0.147375,0.143375,0.138125,0.134375,0,0,2.56
70,-4,97,1,0,-9.7422,-7.3125,-11.5547,-5.6328,0.174375,0.17375,0.13325,0.145625,0,0,2.56025
71,-4,95,1,0,-9.6953,-7.3906,-11.5859,-5.5938,0.16175,0.15625,0.140875,0.14225,0,0,2.561
72,-4,98,1,1,-9.6719,-7.2734,-11.5469,-5.6875,0.176625,0.163,0.1335,0.14625,0,0,2.56075
73,-4,97,1,0,-9.7344,-7.3047,-11.4531,-5.6172,0.178125,0.17925,0.135625,0.1375,0,0,2.56075
74,-4,98,1,0,-9.6562,-7.3594,-11.4375,-5.5469,0.1755,0.156875,0.130625,0.148375,0,0,2.559625
75,-4,94,1,0,-9.7266,-7.25,-11.5156,-5.5469,0.182125,0.166875,0.159625,0.13525,0,1,2.5605
76,-4,96,1,0,-9.6562,-7.2422,-11.4688,-5.5703,0.182125,0.175,0.150125,0.15625,0,0,2.559
77,-4,96,1,0,-9.6562,-7.2422,-11.4375,-5.5234,0.180125,0.172625,0.13275,0.139,0,0,2.559625
78,-4,94,1,0,-9.6328,-7.2422,-11.3828,-5.5078,0.184375,0.181125,0.1475,0.154375,0,0,2.559125
79,-4,96,1,0,-9.6406,-7.1406,-11.375,-5.4688,0.17025,0.179625,0.168375,0.150125,0,0,2.5605
80,-4,95,1,1,-9.5859,-7.1406,-11.4297,-5.4453,0.199125,0.1695,0.154,0.15875,0,0,2.5595
81,-4,97,1,0,-9.5,-7.2109,-11.4219,-5.4531,0.203,0.180875,0.155,0.164375,0,0,2.55925
82,-4,96,1,0,-9.4844,-7.0938,-11.3828,-5.4219,0.199625,0.200375,0.17375,0.15825,0,0,2.559
83,-4,97,1,0,-9.4766,-7.1562,-11.3828,-5.4219,0.184125,0.177,0.157375,0.15225,0,0,2.561
84,-4,95,1,0,-9.4453,-7.125,-11.3047,-5.4453,0.184125,0.1935,0.154875,0.157625,0,0,2.56025
85,-3,94,1,0,-9.4375,-7.0469,-11.3203,-5.375,0.21,0.184875,0.14875,0.168,0,0,2.56025
86,-3,94,1,0,-9.5,-7.0156,-11.2656,-5.3047,0.196375,0.18675,0.168375,0.176125,1,0,2.559
87,-3,94,1,0,-9.3984,-7.0859,-11.2344,-5.3516,0.20575,0.18425,0.189875,0.16225,0,0,2.5595
88,-3,94,1,1,-9.4375,-7.0781,-11.2188,-5.3281,0.217625,0.201,0.173875,0.167125,0,0,2.560625
89,-3,95,1,0,-9.3594,-7.0,-11.2031,-5.3125,0.215125,0.20825,0.164125,0.1785,0,0,2.56025
90,-3,95,1,0,-9.3438,-6.9609,-11.1484,-5.25,0.223375,0.18975,0.194125,0.169125,0,0,2.560875
91,-3,95,1,0,-9.3828,-7.0078,-11.2188,-5.3203,0.211875,0.20925,0.165875,0.167625,0,0,2.560125
92,-3,95,1,0,-9.3984,-6.9453,-11.1484,-5.2812,0.208375,0.19875,0.195875,0.169375,0,0,2.559625
93,-3,97,1,0,-9.3828,-6.9844,-11.0938,-5.2109,0.2065,0.212375,0.165375,0.174625,1,0,2.56025
94,-3,95,1,0,-9.2891,-6.875,-11.125,-5.1719,0.23025,0.22425,0.184625,0.186125,0,0,2.56075
95,-3,94,1,0,-9.2969,-6.9297,-11.0625,-5.1562,0.2145,0.222375,0.1825,0.173,0,0,2.559875
96,-3,95,1,1,-9.2656,-6.8828,-11.0547,-5.1641,0.22,0.22275,0.194375,0.18375,0,0,2.560625
97,-3,96,1,0,-9.2109,-6.8984,-11.0781,-5.1328,0.224125,0.228,0.189875,0.179,0,0,2.559
98,-3,95,1,0,-9.2188,-6.8828,-10.9844,-5.1016,0.22075,0.21275,0.197625,0.194875,0,0,2.5605
99,-3,98,1,0,-9.1719,-6.8438,-11.0234,-5.0859,0.24125,0.21325,0.183125,0.186,0,0,2.559625
100,-3,95,1,0,-9.2344,-6.7734,-10.9844,-5.0469,0.219875,0.219,0.200375,0.1905,0,0,2.55975
101,-3,94,1,0,-9.1797,-6.75,-10.9844,-5.0391,0.244,0.217375,0.209625,0.203125,0,1,2.559625
102,-3,95,1,0,-9.1562,-6.7109,-11.0078,-5.0234,0.24625,0.236875,0.191875,0.205875,0,0,2.559
103,-3,96,1,0,-9.0781,-6.7188,-10.9766,-4.9766,0.244375,0.22875,0.195,0.2075,0,0,2.560625
104,-3,96,1,1,-9.0547,-6.6719,-10.875,-5.0312,0.25625,0.2495,0.2095,0.20275,0,0,2.5605
105,-3,94,1,0,-9.0781,-6.6484,-10.8906,-4.9453,0.233,0.24525,0.207375,0.1925,0,0,2.56
106,-3,94,1,0,-9.0859,-6.6172,-10.8203,-4.9766,0.24275,0.251125,0.223125,0.206,0,0,2.559875
107,-3,94,1,0,-9.1016,-6.6797,-10.7969,-4.9766,0.26275,0.236875,0.21275,0.213875,0,0,2.560125
108,-3,95,1,0,-9.0,-6.5781,-10.8672,-4.9766,0.25875,0.237,0.230375,0.206,0,0,2.5605
109,-3,94,1,0,-9.0781,-6.5781,-10.8438,-4.9297,0.2455,0.258375,0.22875,0.20925,0,0,2.561
110,-3,98,1,0,-9.0078,-6.5469,-10.7891,-4.8438,0.264875,0.257625,0.226,0.22075,0,0,2.560875
111,-3,98,1,0,-9.0078,-6.5547,-10.7188,-4.8828,0.263375,0.248125,0.2095,0.218125,0,0,2.55925
112,-3,94,1,1,-8.9609,-6.5781,-10.7812,-4.8125,0.27575,0.24025,0.2195,0.216625,0,0,2.561
113,-3,94,1,0,-8.9219,-6.5078,-10.8047,-4.8984,0.271875,0.264875,0.221125,0.228875,0,0,2.55925
114,-3,97,1,0,-8.9219,-6.4844,-10.7812,-4.7734,0.280875,0.264125,0.222625,0.230625,0,0,2.5605
115,-3,98,1,0,-8.9609,-6.5312,-10.7031,-4.8594,0.26325,0.273375,0.241375,0.232125,0,0,2.561
116,-3,96,1,0,-8.8906,-6.4609,-10.6953,-4.7344,0.283875,0.26325,0.237875,0.216,0,0,2.559375
117,-3,96,1,0,-8.8516,-6.4297,-10.6953,-4.8125,0.277875,0.252,0.24575,0.2235,0,0,2.559875
118,-3,97,1,0,-8.8203,-6.4062,-10.6953,-4.7812,0.27325,0.27225,0.234,0.222875,0,0,2.55925
119,-3,98,1,0,-8.8516,-6.4609,-10.6094,-4.6797,0.27275,0.261125,0.23975,0.228,0,0,2.559375
120,-3,94,1,1,-8.8047,-6.3516,-10.6328,-4.75,0.281625,0.28625,0.229625,0.22725,0,0,2.559
121,-3,94,1,0,-8.8359,-6.3828,-10.6328,-4.625,0.281875,0.264125,0.253625,0.24075,0,0,2.560625
122,-3,94,1,0,-8.7344,-6.3906,-10.5156,-4.6953,0.2765,0.2675,0.244625,0.23925,0,0,2.56075
123,-3,97,1,0,-8.7344,-6.3203,-10.4844,-4.625,0.29625,0.285375,0.24075,0.2385,1,0,2.56025
124,-3,98,1,0,-8.7656,-6.3672,-10.5547,-4.5625,0.293875,0.273125,0.2465,0.250875,0,0,2.55975
125,-3,98,1,0,-8.6719,-6.3516,-10.5547,-4.625,0.2915,0.275875,0.239375,0.2485,0,0,2.560125
126,-3,94,1,0,-8.6328,-6.3203,-10.4453,-4.6328,0.306875,0.282625,0.2585,0.240375,0,0,2.560625
127,-3,97,1,0,-8.6719,-6.3047,-10.4062,-4.5234,0.28925,0.283875,0.259,0.2355,0,0,2.559875
128,-3,96,1,1,-8.6641,-6.2422,-10.4453,-4.5156,0.311125,0.2815,0.240875,0.2365,0,0,2.560125
129,-3,95,1,0,-8.6875,-6.2109,-10.375,-4.4766,0.286375,0.29625,0.264625,0.23825,0,0,2.559125
130,-3,98,1,0,-8.6016,-6.1953,-10.3906,-4.4766,0.314375,0.287875,0.264125,0.257625,0,0,2.560125
131,-3,98,1,0,-8.5469,-6.1562,-10.4453,-4.4844,0.320625,0.310875,0.256375,0.246625,0,0,2.561
132,-3,97,1,0,-8.5078,-6.1328,-10.3125,-4.5234,0.314625,0.30425,0.250125,0.26275,0,0,2.559125
133,-3,95,1,0,-8.4844,-6.1953,-10.2969,-4.4141,0.30975,0.307125,0.27275,0.2615,0,0,2.56025
134,-3,97,1,0,-8.5547,-6.1875,-10.2656,-4.4531,0.30975,0.2915,0.24825,0.248875,0,0,2.55975
135,-3,95,1,0,-8.5234,-6.0938,-10.2578,-4.375,0.324125,0.295125,0.261375,0.264375,0,0,2.559
136,-2,95,1,1,-8.5234,-6.0938,-10.2969,-4.4062,0.30575,0.310625,0.270875,0.25275,0,0,2.559125
137,-2,96,1,0,-8.5156,-6.1172,-10.2266,-4.375,0.327375,0.31775,0.252375,0.271375,0,0,2.559875
138,-2,95,1,0,-8.4922,-5.9844,-10.2812,-4.3438,0.317375,0.3015,0.258875,0.267375,0,0,2.560875
139,-2,97,1,0,-8.4531,-6.0078,-10.2422,-4.2734,0.332625,0.33025,0.281,0.271,0,1,2.561
140,-2,94,1,0,-8.4219,-5.9609,-10.2422,-4.3047,0.332125,0.3285,0.282,0.2815,0,0,2.559875
141,-2,94,1,0,-8.375,-5.9609,-10.1562,-4.2656,0.3205,0.309125,0.273375,0.264,0,0,2.56
142,-2,97,1,0,-8.3359,-5.9609,-10.1953,-4.2734,0.343,0.30775,0.2855,0.269875,0,0,2.560375
143,-2,94,1,0,-8.3203,-5.9609,-10.1641,-4.1953,0.342,0.32575,0.283375,0.286,0,0,2.559
144,-2,98,1,1,-8.2656,-5.9453,-10.1328,-4.2734,0.348875,0.339125,0.286375,0.2695,0,0,2.55975
145,-2,96,1,0,-8.2969,-5.9531,-10.0469,-4.2031,0.336125,0.3385,0.268375,0.2775,0,0,2.56
146,-2,95,1,0,-8.2656,-5.8359,-10.0938,-4.1406,0.344875,0.32625,0.274375,0.293125,0,0,2.559125
147,-2,96,1,0,-8.3047,-5.8516,-10.1016,-4.2031,0.3415,0.34725,0.273375,0.294125,0,0,2.560875
148,-2,96,1,0,-8.2812,-5.8516,-10.0859,-4.1953,0.357125,0.327875,0.303875,0.2855,0,0,2.560625
149,-2,95,1,0,-8.2812,-5.7891,-9.9688,-4.0859,0.354375,0.34925,0.291125,0.287125,0,0,2.560125
150,-2,97,1,0,-8.2344,-5.8594,-9.9688,-4.1094,0.344375,0.354625,0.281875,0.288375,0,0,2.559375
151,-2,95,1,0,-8.1484,-5.8438,-9.9688,-4.0391,0.36225,0.356875,0.29025,0.301375,0,0,2.5595
152,-2,98,1,1,-8.1641,-5.7109,-9.9141,-4.0391,0.344625,0.3485,0.31475,0.292125,0,0,2.560875
153,-2,97,1,0,-8.1797,-5.7109,-9.8984,-3.9844,0.370125,0.348625,0.3085,0.29225,0,0,2.559875
154,-2,96,1,0,-8.1484,-5.7734,-9.9531,-4.0234,0.35625,0.354875,0.293,0.29275,0,0,2.5595
155,-2,95,1,0,-8.1406,-5.7422,-9.8984,-3.9844,0.3565,0.35025,0.2985,0.29375,0,0,2.55925
156,-2,95,1,0,-8.0781,-5.7188,-9.8516,-4.0078,0.376875,0.362125,0.313,0.311375,0,0,2.560625
157,-2,96,1,0,-8.0938,-5.6875,-9.8281,-3.9062,0.37,0.341875,0.2895,0.294625,0,0,2.55925
158,-2,97,1,0,-8.0469,-5.6328,-9.8984,-3.9375,0.368375,0.359125,0.3165,0.31,0,0,2.559375
159,-2,97,1,0,-7.9922,-5.6484,-9.8125,-3.9062,0.375875,0.36775,0.326625,0.30375,0,0,2.560375
160,-2,95,1,1,-8.0156,-5.5859,-9.7578,-3.9453,0.386875,0.374,0.3095,0.307,0,0,2.560375
161,-2,96,1,0,-7.9922,-5.6094,-9.7969,-3.9062,0.361125,0.369,0.328875,0.3195,0,0,2.559
162,-2,96,1,0,-7.9375,-5.5859,-9.8047,-3.8594,0.385375,0.36175,0.33275,0.307875,0,0,2.559375
163,-2,94,1,0,-7.9141,-5.5703,-9.75,-3.8984,0.374,0.360375,0.323,0.30375,0,0,2.5605
164,-2,98,1,0,-7.875,-5.4609,-9.7734,-3.7969,0.38175,0.368125,0.327125,0.310125,0,0,2.559375
165,-2,98,1,0,-7.8594,-5.5469,-9.6328,-3.7734,0.379875,0.372375,0.337625,0.320625,0,0,2.560125
166,-2,97,1,0,-7.9375,-5.5078,-9.6328,-3.8281,0.387625,0.38525,0.310375,0.321625,0,0,2.559125
167,-2,98,1,0,-7.8672,-5.4688,-9.6953,-3.6953,0.388,0.39175,0.34425,0.315375,0,1,2.55925
168,-2,94,1,1,-7.7734,-5.375,-9.5859,-3.7422,0.385875,0.37775,0.339875,0.323125,0,0,2.560125
169,-2,98,1,0,-7.7734,-5.4531,-9.6172,-3.7422,0.39925,0.39,0.340375,0.319,0,0,2.5595
170,-2,98,1,0,-7.7656,-5.3438,-9.625,-3.6641,0.4085,0.3875,0.332875,0.326375,1,0,2.5595
171,-2,94,1,0,-7.75,-5.3672,-9.5234,-3.7109,0.39725,0.398,0.3485,0.331625,0,0,2.55975
172,-2,96,1,0,-7.8125,-5.3125,-9.5859,-3.6797,0.395875,0.381875,0.3235,0.323625,0,0,2.559375
173,-2,98,1,0,-7.6719,-5.3438,-9.5625,-3.6797,0.399,0.4035,0.331625,0.342,0,0,2.559875
174,-2,95,1,0,-7.6719,-5.25,-9.4688,-3.5781,0.41525,0.387875,0.345,0.32525,0,0,2.559125
175,-2,97,1,0,-7.6875,-5.25,-9.5391,-3.5781,0.40275,0.38825,0.331,0.337375,0,0,2.559125
176,-2,97,1,1,-7.7188,-5.2891,-9.4375,-3.5312,0.4115,0.403,0.355,0.337625,0,0,2.560375
177,-2,96,1,0,-7.6328,-5.2422,-9.4766,-3.5391,0.41725,0.4045,0.347,0.332875,0,0,2.560625
178,-2,95,1,0,-7.6797,-5.2656,-9.4609,-3.5469,0.417375,0.3985,0.33675,0.351625,0,0,2.559875
179,-2,94,1,0,-7.6094,-5.2578,-9.3906,-3.5156,0.406375,0.40025,0.36875,0.353875,0,0,2.559125
180,-2,95,1,0,-7.5391,-5.1406,-9.3906,-3.4297,0.431625,0.417875,0.345375,0.346,0,0,2.559125
181,-2,95,1,0,-7.5547,-5.1797,-9.3984,-3.4844,0.43525,0.412375,0.35425,0.34325,0,0,2.560125
182,-2,98,1,0,-7.5625,-5.1797,-9.3125,-3.4141,0.42075,0.41075,0.356625,0.349375,0,0,2.5595
183,-2,94,1,0,-7.5547,-5.0625,-9.3359,-3.4453,0.418125,0.4045,0.35375,0.345375,0,0,2.559875
184,-2,95,1,1,-7.4609,-5.0469,-9.3438,-3.3438,0.417,0.41475,0.347625,0.3595,0,0,2.55925
185,-1,97,1,0,-7.4219,-5.1172,-9.2344,-3.3203,0.440375,0.422125,0.344,0.357375,0,1,2.56025
186,-1,95,1,0,-7.4141,-5.0703,-9.2266,-3.375,0.420875,0.420125,0.375625,0.35275,0,0,2.561
187,-1,96,1,0,-7.4531,-5.0703,-9.2344,-3.4062,0.446,0.415625,0.36325,0.352875,0,0,2.559375
188,-1,98,1,0,-7.4609,-5.0547,-9.2812,-3.3516,0.452375,0.41875,0.380625,0.35425,0,0,2.56075
189,-1,98,1,0,-7.3594,-4.9922,-9.1797,-3.3516,0.452,0.436375,0.357375,0.365375,0,0,2.55925
190,-1,94,1,0,-7.3516,-5.0,-9.2422,-3.2422,0.4485,0.41625,0.36975,0.3675,0,0,2.55925
191,-1,95,1,0,-7.3906,-4.9062,-9.1953,-3.2812,0.43875,0.423375,0.37175,0.378125,0,0,2.5605
192,-1,95,1,1,-7.2812,-4.9453,-9.1094,-3.1797,0.4465,0.433625,0.360375,0.364625,0,0,2.56
193,-1,96,1,0,-7.375,-4.9688,-9.1172,-3.1641,0.4525,0.44425,0.380375,0.37375,0,0,2.5605
194,-1,95,1,0,-7.3047,-4.8984,-9.0547,-3.25,0.46575,0.43825,0.38975,0.373375,0,0,2.559375
195,-1,98,1,0,-7.2266,-4.9141,-9.0469,-3.1172,0.449375,0.435875,0.37375,0.378125,0,0,2.55925
196,-1,97,1,0,-7.2031,-4.8516,-9.0312,-3.1875,0.450375,0.4415,0.367125,0.381375,0,0,2.560125
197,-1,94,1,0,-7.2969,-4.875,-9.0547,-3.1719,0.45725,0.461,0.389875,0.388875,0,0,2.559875
198,-1,98,1,0,-7.1797,-4.8438,-8.9609,-3.1094,0.46,0.457375,0.385625,0.375875,0,0,2.5595
199,-1,95,1,0,-7.2109,-4.8438,-9.0391,-3.0781,0.475,0.437625,0.395875,0.3815,0,0,2.560375
200,-1,98,1,1,-7.2188,-4.7109,-8.9219,-3.0391,0.4695,0.442625,0.376875,0.38825,0,0,2.55925
201,-1,98,1,0,-7.1328,-4.75,-8.9375,-3.0078,0.460125,0.4685,0.37575,0.3945,0,0,2.56
202,-1,95,1,0,-7.1172,-4.7578,-8.9375,-3.0156,0.481875,0.4725,0.392125,0.38975,0,0,2.56075
203,-1,97,1,0,-7.125,-4.6484,-8.9688,-2.9688,0.4605,0.46225,0.390625,0.384375,0,0,2.5605
204,-1,94,1,0,-7.0703,-4.7344,-8.8984,-2.9453,0.489875,0.45675,0.3865,0.383375,0,0,2.559375
205,-1,94,1,0,-7.0234,-4.6094,-8.8594,-2.9688,0.469875,0.46475,0.400375,0.39875,0,0,2.559
206,-1,98,1,0,-7.0625,-4.6016,-8.8672,-2.9141,0.46925,0.47875,0.4155,0.401,0,0,2.55975
207,-1,97,1,0,-7.0,-4.5703,-8.875,-2.9609,0.481375,0.479875,0.3985,0.3915,0,0,2.56075
208,-1,94,1,1,-7.0312,-4.6016,-8.8438,-2.9062,0.478,0.477625,0.413375,0.4095,0,0,2.560375
209,-1,98,1,0,-7.0234,-4.5391,-8.7891,-2.8984,0.4965,0.4775,0.40875,0.3975,1,0,2.559375
210,-1,96,1,0,-6.9531,-4.5391,-8.7578,-2.8281,0.489625,0.4775,0.4265,0.412875,0,0,2.559875
211,-1,96,1,0,-6.8906,-4.5078,-8.6953,-2.8984,0.4775,0.473875,0.42675,0.400375,0,0,2.55925
212,-1,98,1,0,-6.8594,-4.5078,-8.6797,-2.7891,0.487,0.49025,0.409375,0.40775,0,0,2.56
213,-1,97,1,0,-6.8984,-4.5234,-8.7578,-2.8594,0.499375,0.493625,0.407125,0.418875,0,0,2.560375
214,-1,98,1,0,-6.8281,-4.4766,-8.625,-2.7969,0.49875,0.476125,0.429,0.410625,0,0,2.5605
215,-1,96,1,0,-6.8516,-4.4453,-8.6719,-2.8047,0.486125,0.49925,0.436625,0.40525,0,0,2.560875
216,-1,94,1,1,-6.8203,-4.3906,-8.5703,-2.7031,0.49825,0.493875,0.4075,0.42075,0,0,2.56025
217,-1,98,1,0,-6.7656,-4.375,-8.5625,-2.6953,0.498875,0.5025,0.423125,0.42375,0,0,2.559
