bpx65_a_V,bpx65_b_V
1.17075,1.1565
1.1985,1.1435
1.183375,1.159875
1.205125,1.171375
1.20275,1.145875
1.1835,1.174625
1.19175,1.159125
1.188875,1.1595
1.206625,1.1545
1.2175,1.167
1.194625,1.16825
1.1995,1.17525
1.2055,1.179
1.21525,1.170375
1.226125,1.178375
1.21975,1.180375
1.218875,1.171125
1.224125,1.19825
1.213,1.200125
1.223125,1.196625
1.23325,1.1825
1.2175,1.194
1.239125,1.195875
1.232625,1.1955
1.2285,1.19875
1.23325,1.205
1.239125,1.21775
1.23425,1.19325
1.246125,1.212375
1.238,1.22325
1.255,1.213
1.254875,1.2205
1.2645,1.21675
1.260625,1.209875
1.267125,1.212875
1.253875,1.23825
1.2645,1.240125
1.266125,1.235
1.26175,1.2185
1.26075,1.241625
1.273375,1.246375
1.2645,1.246125
1.264625,1.235
1.280375,1.247
1.29075,1.25
1.2805,1.24875
1.28425,1.249625
1.28825,1.238375
1.271875,1.244875
1.299375,1.262875
1.287,1.26675
1.30375,1.2535
1.286375,1.2455
1.288125,1.2735
1.299,1.25275
1.287,1.278375
1.297,1.2685
1.311625,1.2645
1.302125,1.2785
1.298125,1.266625
1.312625,1.282125
1.308125,1.273
1.306375,1.266
1.314625,1.294125
1.30675,1.279625
1.316125,1.276375
1.320875,1.29925
1.313625,1.29525
1.3255,1.2855
1.32,1.2805
1.34125,1.301125
1.344,1.29975
1.335375,1.30875
1.33325,1.28675
1.3535,1.299375
1.34475,1.28975
1.33025,1.296875
1.345375,1.315375
1.33575,1.32075
1.3635,1.32675
1.34475,1.31825
1.34175,1.322125
1.36025,1.304125
1.34525,1.312875
1.366625,1.319375
1.351375,1.318625
1.37275,1.312375
1.362125,1.335625
1.377875,1.33825
1.3665,1.343
1.369125,1.343
1.382375,1.337625
1.3865,1.336625
1.387875,1.33475
1.370875,1.3505
1.3875,1.33225
1.390625,1.3435
1.38275,1.337375
1.394375,1.352375
1.394,1.361625
1.394875,1.35575
1.406,1.34125
1.40375,1.345
1.39075,1.360125
1.385625,1.358125
1.416,1.35675
1.403875,1.363625
1.3905,1.36775
1.401625,1.37225
1.419125,1.38475
1.425625,1.384125
1.41625,1.36
1.42,1.3855
1.41175,1.364
1.4135,1.367625
1.417375,1.382
1.420375,1.3995
1.438625,1.387
1.425,1.396625
1.4345,1.388125
1.430125,1.3965
1.429875,1.38175
1.44925,1.382875
1.445,1.413125
1.4445,1.411875
1.447125,1.41525
1.456125,1.393875
1.453625,1.39375
1.435125,1.407625
1.461375,1.420875
1.4385,1.410625
1.445125,1.426375
1.4425,1.4285
1.464625,1.40325
1.448,1.424375
1.4515,1.421375
1.46275,1.409875
1.46775,1.416125
1.4545,1.421125
1.46475,1.441125
1.46725,1.4455
1.470625,1.42025
1.4695,1.423875
1.47675,1.445875
1.4825,1.4415
1.49,1.446875
1.47775,1.43025
1.475625,1.450875
1.501375,1.459625
1.485125,1.43625
1.502,1.4525
1.49475,1.46125
1.494125,1.444875
1.5115,1.4555
1.513125,1.471
1.49625,1.4475
1.512875,1.463125
1.510625,1.475125
1.503375,1.460375
1.5005,1.453625
1.49775,1.4625
1.5125,1.47725
1.52925,1.48025
1.51425,1.480625
1.5105,1.484125
1.526875,1.490125
1.51575,1.4785
1.528125,1.47175
1.519375,1.497875
1.521875,1.49275
1.536375,1.47475
1.545875,1.475875
1.536125,1.50125
1.544,1.49375
1.552625,1.49825
1.53875,1.506
1.54175,1.48925
1.534875,1.50825
1.54125,1.503625
1.545375,1.5025
1.547625,1.497375
1.557625,1.502
1.5385,1.5005
1.56975,1.52675
1.5555,1.502
1.5525,1.519
1.572625,1.532875
1.5635,1.522375
1.566875,1.52675
1.555625,1.52025
1.562125,1.5195
1.56175,1.516875
1.581375,1.522875
1.569,1.5425
1.586,1.540625
1.586,1.5285
1.59375,1.538375
1.58675,1.528125
1.576125,1.528375
1.582,1.530625
1.58275,1.55975
1.603,1.53875
1.585875,1.541875
1.599125,1.548875
1.5885,1.545875
1.6045,1.557
1.599375,1.565125
1.615,1.561125
1.5895,1.54825
1.60125,1.575375
1.62025,1.556
1.60875,1.562375
1.615875,1.557875
1.62475,1.57875
1.609875,1.56475
1.618625,1.56025
1.619875,1.5625
1.613875,1.578625
1.60975,1.5705
1.632375,1.580125
1.6115,1.5885
1.635375,1.58425
1.61625,1.591
1.6405,1.59125
1.61975,1.58825
1.6225,1.591125
1.62625,1.578375
1.647125,1.588625
1.6525,1.60825
1.654625,1.600875
1.64075,1.613625
1.65875,1.59825
1.651125,1.596375
1.647125,1.599375
1.650375,1.60825
1.65775,1.61275
1.66775,1.603375
1.646125,1.601
1.6745,1.61275
1.665625,1.605375
1.67175,1.6105
1.65225,1.628625
1.656,1.62025
1.6725,1.611625
1.685,1.61875
1.67525,1.637125
1.6895,1.629625
1.675125,1.615875
1.6695,1.641625
1.681,1.62025
1.677,1.636625
1.693125,1.63475
1.68275,1.6525
1.682625,1.6435
1.6965,1.656625
1.699375,1.639375
1.690625,1.656625
1.69475,1.637125
1.70925,1.640625
1.707625,1.661875
1.69625,1.6665
1.692,1.658375
1.700875,1.67275
1.702125,1.65825
1.70625,1.65075
1.71625,1.669
1.718,1.651875
1.710125,1.656
1.707375,1.657125
1.70875,1.673125
1.70975,1.682
1.707125,1.684375
1.7185,1.661875
1.732,1.689625
1.714125,1.664625
1.73675,1.6895
1.72875,1.69275
1.71675,1.6875
1.728875,1.67475
1.749,1.698875
1.72925,1.6885
1.74975,1.6765
1.752375,1.678625
1.754875,1.696625
1.744875,1.694875
1.748125,1.685375
1.745125,1.708375
1.7635,1.7065
1.73925,1.7095
1.754875,1.69175
1.74475,1.711625
1.752,1.697125
1.75,1.69675
1.766,1.70775
1.774625,1.7065
1.7575,1.727875
1.774875,1.715875
1.782375,1.708625
1.783125,1.733625
1.758375,1.729375
1.769625,1.726
1.7875,1.713125
1.771375,1.734625
1.775625,1.7155
1.769625,1.7195
1.772125,1.7235
1.7825,1.73775
1.795,1.749625
1.799875,1.751875
1.802375,1.7525
1.8025,1.747375
1.807,1.745625
1.787625,1.738
1.79475,1.760875
1.810625,1.737
1.79975,1.763
1.808875,1.74925
1.8145,1.7645
1.791625,1.758625
1.811125,1.758875
1.7995,1.74825
1.817625,1.761125
1.81,1.77
1.8135,1.772
1.82775,1.772375
1.8195,1.775
1.826625,1.757625
1.8085,1.77975
1.818,1.778875
1.832875,1.78725
1.83125,1.777875
1.841125,1.78875
1.844375,1.791125
1.834875,1.790375
1.82,1.772
1.8325,1.78175
1.84575,1.80075
1.83875,1.7945
1.83275,1.7945
1.855875,1.796875
1.84675,1.807375
1.846375,1.80575
1.858375,1.810375
1.841625,1.81225
1.84925,1.81475
1.841625,1.808625
1.86725,1.81225
1.862875,1.796125
1.853625,1.814375
1.862625,1.818375
1.865375,1.796375
1.877375,1.816625
1.860125,1.816125
1.862875,1.812125
1.867875,1.802625
1.868375,1.8255
1.861875,1.829625
1.860125,1.837
1.86275,1.824
1.861875,1.821
1.876,1.832125
1.879875,1.8365
1.877125,1.84125
1.894375,1.833875
1.883125,1.83675
1.89575,1.8375
1.902125,1.84275
1.883125,1.845375
1.895125,1.852125
1.90275,1.844625
1.89375,1.836
1.899625,1.830875
1.9025,1.852375
1.894,1.849
1.89625,1.85175
1.894625,1.84225
1.897625,1.860625
1.917,1.86075
1.912375,1.863625
1.899375,1.84375
1.920625,1.857125
1.917625,1.85325
1.91725,1.862125
1.916875,1.869125
1.907625,1.876
1.9135,1.88025
1.9155,1.86325
1.916625,1.882
1.934,1.886875
1.936375,1.86275
1.930625,1.889375
1.922625,1.889
1.94325,1.887875
1.94,1.891875
1.94675,1.8955
1.94275,1.884125
1.92975,1.883
1.950125,1.89875
1.95425,1.904125
1.93275,1.902625
1.946375,1.888125
1.962,1.896625
1.94475,1.90175
1.941625,1.898625
1.962875,1.8915
1.961375,1.900625
1.961625,1.8895
1.957375,1.893625
1.961375,1.907875
1.961875,1.898625
1.975375,1.9095
1.948875,1.896625
1.951,1.913125
1.96325,1.91425
1.966625,1.910625
1.9785,1.928
1.9595,1.90325
1.9655,1.925625
1.977375,1.926625
1.981625,1.915875
1.983125,1.915375
1.98275,1.9255
1.9845,1.921875
1.9865,1.921875
1.97775,1.932625
1.999125,1.92325
1.98825,1.932125
1.98125,1.934875
1.988125,1.94875
1.996,1.941625
2.005625,1.92725
2.006125,1.946875
1.985875,1.940125
2.007875,1.9315
1.987125,1.940125
2.008375,1.958125
2.001,1.95975
2.014125,1.96425
2.015375,1.957125
2.00925,1.940375
1.998625,1.959
2.001625,1.97125
2.00675,1.966375
2.004,1.954125
2.026,1.965875
2.0055,1.951625
2.027125,1.963
2.031,1.97225
2.01875,1.95575
2.023875,1.981875
2.041125,1.96375
2.037625,1.980125
2.03175,1.988375
2.0425,1.98225
2.021375,1.971375
2.021125,1.966625
2.050625,1.9725
2.044875,1.97025
2.043125,1.97425
2.048875,1.987125
2.055,1.994
2.039,1.996375
2.05225,2.00225
2.060625,1.99025
2.03475,1.993125
2.037875,1.99725
2.037,2.002375
2.045625,1.987375
2.041375,2.0085
2.0625,2.002
2.068875,1.998375
2.0565,1.992
2.05,1.989875
2.06975,2.020875
2.0595,2.0105
2.07575,2.019875
2.074375,1.999875
2.059625,2.0035
2.0585,2.023375
2.058,2.01725
2.06975,2.0135
2.08475,2.02
2.079875,2.030375
2.09275,2.025375
2.085,2.03375
2.069375,2.03
2.087,2.01425
2.071375,2.0225
2.07875,2.04325
2.09025,2.04
2.10075,2.03275
2.09275,2.025625
2.0865,2.03275
2.102625,2.02425
2.107,2.049625
2.098625,2.03575
2.08725,2.05175
2.109375,2.02825
2.1135,2.034625
2.100625,2.036375
2.0985,2.042625
2.113375,2.032875
2.10725,2.050875
2.104375,2.0485
2.121375,2.04725
2.119,2.044
2.100625,2.047375
2.111,2.051625
2.118375,2.053125
2.1065,2.05225
2.1115,2.074
2.1295,2.07375
2.13675,2.06875
2.116375,2.067125
2.132,2.0785
2.139125,2.07175
2.11975,2.06325
2.1255,2.063375
2.137625,2.0855
2.137875,2.072625
2.12,2.08375
2.132,2.071125
2.150875,2.083875
2.12775,2.070375
2.137375,2.072125
2.131,2.06925
2.147625,2.075625
2.13325,2.08475
2.149875,2.081125
2.143125,2.08025
2.14575,2.100875
2.143375,2.078875
2.1395,2.099875
2.162875,2.079625
2.146375,2.090875
2.147,2.0915
2.168125,2.08475
2.1525,2.093375
2.174125,2.107375
2.17375,2.10875
2.176,2.113625
2.175625,2.115625
2.164375,2.100125
2.153125,2.10725
2.16025,2.1035
2.163125,2.112875
2.163375,2.117625
2.159375,2.109125
2.174,2.113
2.17025,2.10875
2.17675,2.130375
2.173,2.1255
2.193375,2.12
2.19475,2.113
2.17575,2.129625
2.17425,2.112875
2.194125,2.137875
2.185875,2.134875
2.187625,2.132
2.177,2.1425
2.206125,2.125125
2.190125,2.125125
2.20825,2.143125
2.19675,2.1215
2.19875,2.143125
2.193875,2.133
2.193375,2.155
2.19725,2.14025
2.19825,2.138
2.2125,2.135125
2.209875,2.1495
2.203625,2.16125
2.209625,2.14075
2.210875,2.135375
2.200875,2.149875
2.223,2.159125
2.22275,2.152
2.205875,2.141375
2.214875,2.148125
2.21875,2.16075
2.225125,2.17225
2.2295,2.16325
2.23675,2.157
2.22025,2.158
2.234375,2.14975
2.229125,2.15175
2.236625,2.15425
2.22025,2.1735
2.216,2.160875
2.244125,2.171
2.231,2.17375
2.245,2.1625
2.238375,2.164375
2.24275,2.188625
2.25325,2.187375
2.23275,2.1655
2.248375,2.17475
2.22775,2.18775
2.2325,2.172
2.231625,2.175125
2.245,2.180875
2.242,2.18425
2.240375,2.192125
2.25425,2.200125
2.25975,2.18675
2.25525,2.194625
2.269875,2.178625
2.2665,2.202375
2.25475,2.1975
2.251375,2.18675
2.262375,2.205375
2.249125,2.2
2.263375,2.196625
2.264125,2.2145
2.251875,2.192
2.267,2.213875
2.27575,2.196375
2.2565,2.206375
2.265125,2.22
2.28425,2.199625
2.263125,2.213375
2.259875,2.198625
2.274875,2.2135
2.269125,2.217
2.292625,2.205375
2.27175,2.212
2.267375,2.2145
2.273,2.22725
2.29,2.221
2.282125,2.212875
2.301375,2.218875
2.28825,2.22975
2.30125,2.21725
2.304375,2.213625
2.293125,2.222125
2.280375,2.21975
2.300125,2.22675
2.280625,2.234
2.306875,2.225625
2.300875,2.2365
2.295375,2.246125
2.307375,2.245375
2.302625,2.234875
2.297875,2.253875
2.290125,2.243
2.304375,2.228375
2.3085,2.233375
2.311375,2.24575
2.3205,2.240375
2.297875,2.251625
2.3185,2.245125
2.31375,2.24675
2.328125,2.25625
2.325125,2.246625
2.319125,2.255875
2.32725,2.2655
2.321875,2.258875
2.315875,2.257375
2.319625,2.25275
2.31525,2.264125
2.315,2.270125
2.324375,2.251125
2.325625,2.261125
2.328375,2.250375
2.322375,2.25825
2.326125,2.26175
2.3245,2.27475
2.3235,2.258125
2.325,2.259125
2.32925,2.26425
2.33175,2.2585
2.327875,2.28075
2.33325,2.27475
2.339375,2.28825
2.346125,2.288
2.343875,2.28575
2.356,2.284625
2.3385,2.292625
2.33275,2.290625
2.362875,2.2905
2.34225,2.287625
2.36125,2.2735
2.359125,2.291875
2.3405,2.296875
2.366125,2.3015
2.360625,2.297875
2.366,2.288875
2.36925,2.285875
2.345875,2.28425
2.366125,2.296125
2.3595,2.302875
2.369375,2.29325
2.35375,2.30775
2.366625,2.30925
2.3585,2.314375
2.357875,2.296125
2.35675,2.305625
2.378625,2.31175
2.36575,2.313625
2.384,2.31975
2.362125,2.304875
2.375625,2.3005
2.364625,2.306125
2.391125,2.30925
2.36425,2.32575
2.374625,2.3245
2.37175,2.320125
2.3885,2.3285
2.37925,2.30325
2.39675,2.309
2.383625,2.333875
2.371625,2.322125
2.3955,2.3175
2.391,2.310625
2.395375,2.315625
2.39825,2.3115
2.37825,2.329125
2.403375,2.328875
2.383875,2.333125
2.38475,2.33025
2.388125,2.346
2.383625,2.329875
2.407875,2.348625
2.407875,2.3465
2.411625,2.348875
2.412875,2.330375
2.41825,2.341625
2.41825,2.327875
2.407,2.327
2.41575,2.347875
2.406875,2.348125
2.403375,2.330625
2.41375,2.35
2.418125,2.34625
2.398375,2.340125
2.409125,2.34075
2.427125,2.3555
2.4305,2.357625
2.417125,2.356
2.4245,2.348875
2.433625,2.351625
2.405875,2.34075
2.424,2.341125
2.4125,2.367125
2.41675,2.3565
2.413625,2.346
2.43525,2.35075
2.418375,2.37025
2.419625,2.352875
2.42125,2.369375
2.427,2.37525
2.4215,2.366375
2.424625,2.360375
2.43675,2.36725
2.43025,2.38
2.439,2.377875
2.4395,2.370875
2.447625,2.3595
2.428125,2.38175
2.453125,2.377875
2.440125,2.37975
2.429625,2.37275
2.44275,2.382625
2.4565,2.386125
2.443875,2.385625
2.433,2.377375
2.434375,2.39025
2.442375,2.38375
2.447,2.376625
2.453375,2.38675
2.446375,2.396625
2.44175,2.38175
2.45225,2.381375
2.442875,2.401125
2.47075,2.391875
2.46725,2.37975
2.451375,2.390125
2.46475,2.393875
2.4735,2.3865
2.4665,2.386625
2.477125,2.390625
2.473125,2.38275
2.47725,2.41125
2.464625,2.409875
2.453375,2.404125
2.462375,2.411125
2.46675,2.41
2.479625,2.393125
2.477875,2.399625
2.459,2.414375
2.479375,2.4005
2.475625,2.40625
2.483,2.41025
2.473125,2.410625
2.48975,2.399375
2.473,2.4215
2.468625,2.401125
2.48575,2.3985
2.490125,2.403125
2.495875,2.41325
2.485125,2.407
2.46975,2.41475
2.481,2.428625
2.48725,2.43275
2.491375,2.42475
2.501875,2.431125
2.49975,2.41675
2.479375,2.432625
2.49675,2.430375
2.483625,2.4365
2.507875,2.41225
2.50575,2.413
2.483875,2.43575
2.51075,2.437875
2.491875,2.41675
2.4945,2.4445
2.5135,2.428375
2.51275,2.44125
2.51075,2.443375
2.493375,2.418875
2.503375,2.434875
2.502375,2.447875
2.500375,2.437125
2.501625,2.43125
2.4995,2.425875
2.497125,2.4485
2.5235,2.44275
2.500875,2.432625
2.49925,2.442
2.501625,2.44725
2.518125,2.441
2.509625,2.45825
2.520125,2.430875
2.529,2.432875
2.525875,2.435125
2.5145,2.438625
2.508625,2.45675
2.51325,2.43925
2.530375,2.4565
2.51225,2.45475
2.506875,2.45575
2.53075,2.441
2.52825,2.46425
2.53175,2.452125
2.525625,2.469125
2.526125,2.449125
2.517125,2.4535
2.532875,2.46275
2.525,2.460875
2.52825,2.457625
2.51625,2.453625
2.54325,2.476375
2.545375,2.476375
2.520375,2.463
2.542875,2.4795
2.532625,2.475375
2.5355,2.469125
2.52275,2.45575
2.52975,2.480125
2.548375,2.464875
2.52875,2.474
2.555875,2.46075
2.529,2.468875
2.536375,2.464125
2.554125,2.4625
2.5555,2.477125
2.555375,2.473125
2.543625,2.463125
2.551375,2.468
2.54075,2.48425
2.55925,2.4925
2.543625,2.494875
2.541375,2.490125
2.540125,2.494125
2.565,2.484875
2.55925,2.4865
2.544875,2.483
2.57,2.4795
2.5595,2.475625
2.549125,2.48875
2.555875,2.476375
2.543625,2.499
2.550625,2.49525
2.5625,2.476
2.56575,2.490125
2.5675,2.492375
2.57025,2.50775
2.572,2.50575
2.57125,2.505125
2.554375,2.50075
2.558375,2.486875
2.575125,2.511375
2.58025,2.5065
2.56725,2.492125
2.567125,2.5065
2.581875,2.514375
2.58475,2.50875
2.557625,2.49475
2.568125,2.501875
2.565375,2.489
2.565125,2.49875
2.573375,2.50825
2.588,2.510625
2.59,2.5015
2.585,2.522125
2.581125,2.517875
2.591625,2.5045
