bpw34_a_V,bpw34_b_V
0.691625,0.682125
0.695125,0.686375
0.702125,0.69
0.7075,0.690625
0.682875,0.67225
0.69625,0.683375
0.70125,0.693125
0.70325,0.6815
0.693125,0.685
0.6955,0.701625
0.713375,0.68875
0.693,0.701125
0.71,0.6875
0.69875,0.69725
0.728375,0.70125
0.729875,0.691875
0.70675,0.712
0.70875,0.716375
0.705875,0.703125
0.705375,0.703125
0.724125,0.7115
0.7185,0.7185
0.735125,0.712
0.71325,0.72775
0.733125,0.70975
0.741375,0.71425
0.73975,0.71875
0.74575,0.73325
0.73475,0.734125
0.749125,0.732
0.739,0.7255
0.743125,0.723
0.73175,0.741625
0.7365,0.725375
0.76375,0.739625
0.76825,0.741375
0.75125,0.7465
0.741,0.752625
0.748625,0.741625
0.751875,0.7515
0.770625,0.76
0.7445,0.75325
0.775875,0.746875
0.75925,0.7505
0.754875,0.752875
0.762,0.75975
0.784125,0.77
0.764375,0.7585
0.759125,0.753875
0.78375,0.755625
0.7815,0.766625
0.773125,0.77625
0.783125,0.777
0.7895,0.771125
0.7845,0.773
0.795,0.7715
0.80225,0.777625
0.8025,0.787
0.81325,0.776125
0.79725,0.783625
0.785375,0.77475
0.791625,0.786125
0.808375,0.799125
0.810125,0.79075
0.8145,0.7885
0.815125,0.7905
0.827375,0.786125
0.82825,0.80275
0.810125,0.79025
0.7985,0.800375
0.8315,0.79975
0.812875,0.808875
0.828875,0.818
0.809375,0.802875
0.824625,0.8115
0.828,0.814875
0.845625,0.8145
0.837125,0.819
0.82725,0.812875
0.851,0.82975
0.817,0.81975
0.826625,0.8185
0.857125,0.81525
0.847625,0.833375
0.839875,0.836875
0.839125,0.837375
0.8325,0.83575
0.86325,0.82675
0.86475,0.841125
0.841,0.83
0.85125,0.837
0.848125,0.843125
0.869875,0.836125
0.863625,0.844875
0.85275,0.841375
0.867875,0.859875
0.8545,0.849875
0.862125,0.84175
0.88625,0.853125
0.8675,0.864875
0.882375,0.853
0.866,0.851
0.85975,0.866
0.885375,0.853125
0.8825,0.8555
0.897375,0.856
0.87175,0.8735
0.871875,0.8655
0.893625,0.87225
0.898125,0.872625
0.89625,0.8685
0.90775,0.88
0.89225,0.874875
0.90075,0.87725
0.89625,0.885875
0.90875,0.8925
0.915375,0.897375
0.90225,0.882875
0.92175,0.892375
0.903125,0.8805
0.897375,0.903375
0.927875,0.885125
0.90275,0.889625
0.92925,0.905625
0.90075,0.90975
0.91275,0.911375
0.93675,0.904625
0.924,0.907875
0.90825,0.900375
0.91075,0.91225
0.9255,0.909625
0.920625,0.91
0.941875,0.907125
0.91675,0.92225
0.915875,0.91825
0.937375,0.925
0.948875,0.924875
0.9335,0.924375
0.947625,0.93325
0.924375,0.92075
0.941875,0.924625
0.9535,0.928375
0.945875,0.922625
0.946625,0.924625
0.962625,0.93825
0.9485,0.945
0.965,0.94925
0.944625,0.935
0.95125,0.947125
0.954375,0.937625
0.948125,0.947375
0.977375,0.952375
0.9805,0.9485
0.982,0.9425
0.9715,0.9445
0.966,0.94625
0.95725,0.954125
0.98725,0.960375
0.977375,0.963125
0.99025,0.97075
0.976875,0.9555
0.99,0.973375
0.996,0.971625
0.98925,0.976125
1.003625,0.978625
0.9775,0.978125
0.9845,0.97125
1.00925,0.974
1.01175,0.96875
0.9965,0.9865
0.98025,0.99175
0.987125,0.972625
0.98725,0.996375
1.000625,0.985375
0.9895,0.982
1.01075,0.979375
1.018625,0.992
1.013625,0.982875
1.0035,0.998375
1.013,1.0
1.02525,0.99425
1.00225,0.993875
1.00325,1.001375
1.02275,1.011875
1.0125,1.001
1.018875,1.00625
1.032125,1.017375
1.037625,1.00825
1.04575,1.01175
1.028875,1.00975
1.04625,1.0135
1.040875,1.01325
1.02275,1.0185
1.037875,1.0315
1.02375,1.023875
1.055125,1.0165
1.044,1.036
1.05225,1.02275
1.034875,1.03175
1.038625,1.027125
1.055625,1.02725
1.07,1.028875
1.04775,1.04475
1.03975,1.04425
1.0735,1.032
1.05825,1.04675
1.059875,1.054875
1.0465,1.04875
1.0575,1.040125
1.06425,1.039625
1.076,1.04175
1.064625,1.0495
1.07975,1.051875
1.072125,1.05425
1.06675,1.05525
1.091125,1.06325
1.08225,1.06125
1.093125,1.071875
1.096125,1.059625
1.093,1.066375
1.0825,1.077125
1.079125,1.07775
1.101375,1.060875
1.073125,1.069625
1.096,1.069375
1.088,1.08425
1.081875,1.085375
1.09525,1.070125
1.096125,1.073
1.1195,1.0765
1.091375,1.086875
1.109,1.078125
1.0925,1.088375
1.094625,1.101375
1.09475,1.086375
1.109625,1.1
1.109875,1.092125
1.1025,1.08925
1.10525,1.09325
1.135,1.09225
1.10725,1.1
1.1315,1.097125
1.13725,1.096
1.1165,1.118375
1.120875,1.10875
1.115625,1.1045
1.119875,1.11725
1.1255,1.111
1.124125,1.118875
1.126125,1.11125
1.12975,1.10825
1.14675,1.132
1.1435,1.125875
1.140875,1.12625
1.13175,1.12175
1.15625,1.12475
1.1575,1.135
1.14425,1.136375
1.141125,1.1225
1.16075,1.123125
1.136,1.12875
1.15725,1.1415
1.15325,1.15
1.15275,1.13825
1.15075,1.14075
1.17375,1.1515
1.1705,1.142
1.175875,1.143375
1.18475,1.1545
1.152375,1.14175
1.17325,1.15775
1.17575,1.15625
1.181625,1.163625
1.158,1.166125
1.1805,1.159875
1.1755,1.15875
1.19325,1.152625
1.196,1.1605
1.18625,1.163375
1.169875,1.177875
1.191125,1.166875
1.195,1.168375
1.17425,1.178125
1.192375,1.1795
1.180875,1.173375
1.18475,1.183
1.19125,1.188125
1.208375,1.170625
1.192375,1.1935
1.210375,1.18725
1.203375,1.1825
1.20375,1.187
1.2275,1.194125
1.221875,1.191125
1.212875,1.1875
1.199625,1.199
1.226375,1.206
1.225,1.196375
1.21075,1.2095
1.208,1.2075
1.21925,1.210625
1.22325,1.215
1.20925,1.197875
1.218625,1.205125
1.240875,1.204375
1.23725,1.216875
1.246875,1.215625
1.23625,1.21475
1.2295,1.214
1.234125,1.226125
1.231,1.2185
1.24825,1.211625
1.23325,1.211875
1.242625,1.226
1.2285,1.2335
1.235875,1.222625
1.232375,1.219375
1.26375,1.2385
1.251375,1.237875
1.2515,1.231125
1.25025,1.242375
1.244375,1.238375
1.248,1.23975
1.27525,1.232625
1.272,1.23775
1.24525,1.24525
1.269625,1.2485
1.273,1.254625
1.25975,1.253375
1.269875,1.24575
1.266,1.2615
1.290625,1.247125
1.268375,1.24825
1.277625,1.261
1.29225,1.2675
1.26575,1.249375
1.269125,1.261
1.28475,1.260625
1.288875,1.267
1.27475,1.26125
1.280875,1.274
1.30025,1.264625
1.275625,1.2735
1.296375,1.265125
1.31175,1.284125
1.281,1.267375
1.297125,1.273125
1.31125,1.27525
1.318875,1.27825
1.315,1.272875
1.30575,1.278
1.32075,1.289125
1.311375,1.2905
1.298875,1.281
1.302,1.29
1.305125,1.296125
1.333125,1.282125
1.32525,1.28525
1.301,1.294
1.312375,1.29125
1.33325,1.296
1.308875,1.3095
1.318,1.312625
1.3215,1.2935
1.3285,1.305875
1.335875,1.30075
1.333375,1.31875
1.332625,1.318125
1.33625,1.317125
1.335375,1.314125
1.3465,1.31275
1.32475,1.321125
1.326375,1.312625
1.33725,1.31425
1.343,1.319
1.347875,1.312125
1.337625,1.332
1.338375,1.316375
1.367125,1.32275
1.36975,1.324875
1.344875,1.341
1.357,1.340875
1.3475,1.331
1.349875,1.33475
1.36675,1.343875
1.35,1.342375
1.355125,1.329875
1.37725,1.351875
1.352375,1.352125
1.358875,1.352375
1.35925,1.35625
1.380875,1.35425
1.3705,1.35025
1.382625,1.361375
1.39225,1.36325
1.368375,1.359375
1.390375,1.35775
1.374875,1.349125
1.374,1.34975
1.396375,1.351625
1.38225,1.353125
1.39125,1.35625
1.369375,1.36675
1.388625,1.356375
1.39675,1.370625
1.392625,1.367625
1.404875,1.36775
1.410625,1.3805
1.4115,1.3745
1.41225,1.36975
1.407125,1.3665
1.386,1.369375
1.407875,1.373625
1.418625,1.38025
1.42,1.376125
1.400875,1.391375
1.39475,1.38975
1.41,1.386875
1.428875,1.401125
1.419125,1.393625
1.415625,1.38925
1.416375,1.394875
1.414625,1.38825
1.43025,1.388125
1.416625,1.390625
1.434875,1.4005
1.43375,1.39525
1.41875,1.409125
1.419375,1.409
1.4425,1.411
1.436625,1.409625
1.43,1.416125
1.443375,1.400375
1.429375,1.403875
1.419625,1.41325
1.447125,1.426125
1.458875,1.414625
1.442625,1.408
1.4605,1.42325
1.43725,1.4255
1.44075,1.424125
1.46725,1.433625
1.433875,1.429375
1.44725,1.433625
1.46175,1.44
1.438125,1.42825
1.467625,1.43075
1.4765,1.433
1.45475,1.428375
1.46525,1.43275
1.4695,1.4375
1.454375,1.4495
1.48375,1.451625
1.47475,1.44175
1.47325,1.45575
1.477125,1.44375
1.48025,1.458
1.48675,1.442
1.46775,1.446375
1.480125,1.463375
1.481625,1.463
1.47525,1.450125
1.470625,1.458875
1.47675,1.448625
1.499375,1.452
1.4855,1.468875
1.471625,1.45825
1.49125,1.471625
1.491875,1.454875
1.472375,1.464625
1.4935,1.461
1.488375,1.467
1.50175,1.48075
1.50625,1.475
1.511125,1.476875
1.5095,1.466125
1.517375,1.480375
1.52025,1.4835
1.497125,1.48625
1.51675,1.482625
1.499,1.474375
1.502,1.489625
1.518875,1.486125
1.5225,1.476625
1.528125,1.498625
1.533375,1.496875
1.51325,1.4935
1.516,1.50225
1.521875,1.49875
1.51875,1.497375
1.534625,1.498625
1.532875,1.502
1.523625,1.5055
1.5335,1.507375
1.513875,1.497125
1.518625,1.502
1.542,1.503375
1.522,1.506
1.5335,1.507625
1.53975,1.517
1.536125,1.517625
1.541625,1.50775
1.555,1.52625
1.550375,1.508
1.54275,1.527875
1.54375,1.526125
1.5515,1.51625
1.55575,1.5185
1.547375,1.525375
1.550625,1.530375
1.53875,1.521375
1.538125,1.533125
1.54075,1.522375
1.564,1.534375
1.559625,1.53825
1.56925,1.5305
1.56575,1.53175
1.54675,1.53975
1.557125,1.5345
1.575375,1.540375
1.55175,1.54
1.55625,1.540875
1.583,1.5475
1.582125,1.542625
1.581125,1.548875
1.588375,1.547625
1.5855,1.558125
1.568,1.5495
1.575875,1.544375
1.58825,1.546625
1.595625,1.563
1.591625,1.562625
1.584125,1.55175
1.57975,1.556875
1.596125,1.559375
1.594,1.567875
1.5965,1.559375
1.596375,1.566375
1.5935,1.56925
1.593,1.56
1.598,1.558
1.60125,1.579875
1.5905,1.574
1.61125,1.58375
1.586375,1.568375
1.585,1.57725
1.618625,1.571625
1.613375,1.586375
1.604125,1.571375
1.59225,1.58725
1.616125,1.5945
1.592,1.5855
1.62275,1.58375
1.60375,1.59025
1.61125,1.593875
1.604875,1.593875
1.601875,1.5895
1.602375,1.59175
1.619125,1.595
1.633625,1.593375
1.63,1.605125
1.6415,1.60425
1.639875,1.59125
1.61775,1.595125
1.638,1.610875
1.639875,1.601625
1.648875,1.611625
1.616375,1.602875
1.624625,1.605875
1.646375,1.60375
1.63475,1.609875
1.654875,1.615
1.653875,1.6175
1.62375,1.60675
1.650875,1.61625
1.66225,1.62775
1.634875,1.614375
1.6315,1.6135
1.65425,1.615125
1.65425,1.624
1.64525,1.63175
1.6405,1.63475
1.661125,1.63625
1.655625,1.62425
1.645125,1.631625
1.651,1.639125
1.643625,1.637125
1.671625,1.628375
1.6605,1.6405
1.652625,1.640375
1.662375,1.64225
1.682875,1.63775
1.649,1.650125
1.668875,1.64575
1.65275,1.6365
1.656375,1.636125
1.654625,1.635125
1.668625,1.65675
1.67575,1.651125
1.668375,1.648625
1.688,1.64425
1.675375,1.65225
1.673,1.64825
1.689125,1.6665
1.698875,1.66125
1.699625,1.64675
1.700125,1.661625
1.685375,1.650875
1.704375,1.66825
1.67725,1.659
1.680625,1.66025
1.68375,1.65475
1.697125,1.673
1.68375,1.678125
1.7005,1.67125
1.715375,1.671875
1.716375,1.68375
1.690875,1.674375
1.688125,1.674
1.69475,1.684875
1.6975,1.6665
1.7215,1.675
1.70075,1.6805
1.696,1.68975
1.71425,1.694
1.698375,1.677625
1.712375,1.688375
1.70075,1.694875
1.709125,1.6845
1.73425,1.691125
1.72725,1.683
1.72925,1.682375
1.71275,1.696375
1.72325,1.7
1.72375,1.694
1.739,1.703375
1.732125,1.702125
1.72125,1.69175
1.73875,1.7035
1.74775,1.712625
1.714375,1.7055
1.747875,1.700625
1.721875,1.703625
1.746625,1.715625
1.72975,1.704625
1.739,1.71375
1.752125,1.70025
1.7395,1.714375
1.754375,1.7225
1.735625,1.72275
1.742625,1.715625
1.740875,1.712625
1.75825,1.73025
1.731625,1.723875
1.765625,1.7145
1.741875,1.7275
1.745125,1.72775
1.759,1.719375
1.77125,1.73425
1.771875,1.730375
1.75775,1.725
1.746125,1.731375
1.775875,1.72325
1.748,1.73425
1.7585,1.743625
1.772625,1.733375
1.77525,1.735625
1.783125,1.736125
1.756875,1.73
1.77425,1.72975
1.789,1.734125
1.761125,1.7375
1.768375,1.733375
1.777625,1.74575
1.77975,1.752625
1.766375,1.74775
1.79075,1.741875
1.783875,1.752125
1.7915,1.7485
1.787375,1.749875
1.7865,1.7605
1.782625,1.759125
1.785375,1.749875
1.78525,1.755625
1.774625,1.7685
1.803875,1.757
1.80075,1.764
1.81,1.766375
1.807375,1.773
1.794875,1.75475
1.81225,1.7705
1.79425,1.76125
1.80975,1.760125
1.783125,1.76025
1.814375,1.780375
1.791375,1.782625
1.798625,1.77025
1.806875,1.78025
1.803,1.77125
1.80675,1.78725
1.81725,1.788125
1.7975,1.773625
1.795875,1.788625
1.822,1.776125
1.8055,1.789625
1.825375,1.785
1.829625,1.787875
1.8285,1.793375
1.81,1.7805
1.833875,1.779875
1.803625,1.793
1.826875,1.788125
1.81775,1.792625
1.835875,1.79525
1.807625,1.793125
1.81425,1.790375
1.820875,1.79425
1.8435,1.789
1.8355,1.792625
1.82,1.793375
1.84175,1.796125
1.847875,1.795375
1.828875,1.795875
1.83175,1.809875
1.836625,1.816125
1.83325,1.808125
1.856625,1.801625
1.854625,1.81525
1.847375,1.811375
1.860125,1.80975
1.8545,1.8135
1.85,1.82075
1.8325,1.81775
1.862,1.8195
1.840125,1.822125
1.855,1.824625
1.86975,1.81375
1.8365,1.821125
1.864875,1.834125
1.86375,1.835625
1.86475,1.832375
1.87525,1.837375
1.872,1.834
1.842125,1.82325
1.853625,1.839125
1.845625,1.832875
1.850625,1.829375
1.879375,1.834875
1.8795,1.838625
1.8595,1.84425
1.853,1.8485
1.866875,1.8285
1.865375,1.834125
1.879875,1.837
1.890875,1.837
1.89125,1.842125
1.872,1.8505
1.890875,1.8405
1.879875,1.84725
1.895375,1.85125
1.8615,1.837625
1.862375,1.854875
1.886125,1.858
1.874375,1.8545
1.9,1.854
1.87825,1.859875
1.8955,1.86275
1.879875,1.86625
1.880875,1.86375
1.895625,1.848875
1.87175,1.871
1.897375,1.8665
1.888125,1.8645
1.9095,1.86875
1.898375,1.8725
1.88125,1.865
1.914625,1.857
1.9125,1.865375
1.900625,1.8725
1.898625,1.877625
1.903375,1.8745
1.9065,1.87175
1.9125,1.87725
1.8965,1.871375
1.9075,1.87125
1.894875,1.883375
1.894125,1.873375
1.903,1.878
1.921375,1.88675
1.905375,1.878375
1.9095,1.882875
1.90325,1.879125
1.918,1.884375
1.935,1.889375
1.91075,1.896625
1.90275,1.883375
1.9025,1.88775
1.93275,1.8835
1.94,1.89525
1.911375,1.88225
1.94225,1.90325
1.917875,1.888375
1.92475,1.905125
1.93325,1.902375
1.9285,1.90025
1.922875,1.904125
1.94675,1.89275
1.92525,1.903
1.950625,1.896125
1.932875,1.907
1.951,1.897875
1.9355,1.911625
1.949875,1.911625
1.920375,1.89925
1.954125,1.912875
1.958875,1.902625
1.94725,1.90375
1.946875,1.9185
1.943375,1.90925
1.960125,1.905625
1.937625,1.92325
1.953125,1.90675
1.9565,1.918875
1.933625,1.912
1.936375,1.914875
1.9355,1.92325
1.933625,1.924375
1.971,1.9215
1.965125,1.915625
1.946,1.91975
1.954625,1.9205
1.968375,1.922125
1.971125,1.933375
1.941875,1.933375
1.95775,1.938125
1.973375,1.919875
1.946,1.9265
1.955,1.93975
1.977375,1.93
1.957125,1.94275
1.949375,1.94325
1.952875,1.9315
1.968875,1.947375
1.979125,1.94275
1.973,1.93925
1.956125,1.948625
1.98675,1.93325
1.977,1.950375
1.983,1.947875
1.993,1.945375
1.987125,1.954125
1.968375,1.952375
1.99025,1.94625
1.965125,1.944625
1.963875,1.93975
1.993125,1.94425
1.974875,1.955875
1.982125,1.958
1.9705,1.957625
1.999,1.9435
1.983875,1.95025
2.003625,1.9635
2.001375,1.9635
2.006625,1.952375
2.006875,1.969625
1.982875,1.9665
1.97975,1.97025
2.007,1.953875
1.98275,1.956375
2.002125,1.954
2.0145,1.9545
1.99875,1.963875
2.009375,1.962125
2.00775,1.96325
1.988375,1.970875
1.98675,1.979875
2.00125,1.962625
1.991125,1.969125
2.002625,1.9645
1.998125,1.972
1.998875,1.96825
2.015375,1.97075
2.002125,1.979875
2.00675,1.974375
2.008125,1.979
2.023875,1.98625
2.0105,1.973
2.011375,1.976875
2.0225,1.988125
2.030125,1.990875
2.021625,1.991625
2.03425,1.974875
2.005,1.982375
2.009125,1.9945
2.019125,1.98175
2.01375,1.993
2.012,1.99475
2.03675,1.983875
2.0355,1.983875
2.013375,1.987375
2.023,1.997875
2.01975,1.999125
2.04625,2.00225
2.02825,2.003875
2.013375,1.985875
2.014125,2.0085
2.014875,1.997625
2.036375,2.006125
2.023375,2.0105
2.025,2.012625
2.037625,1.9925
2.049125,1.995625
2.024,2.004875
2.051375,2.014
2.030625,1.998375
2.028875,2.003125
2.031875,2.00375
2.043875,2.014875
2.029125,2.0205
2.056125,2.011375
2.028375,2.012
2.034875,2.018125
2.056875,2.017625
2.050125,2.0205
2.0415,2.01875
2.055125,2.015
2.064875,2.024125
2.0665,2.016
2.037375,2.03
2.048,2.0135
2.0415,2.018875
2.06625,2.014
2.06975,2.029375
2.062375,2.029125
2.05425,2.014875
2.052125,2.03025
2.07725,2.025375
2.073875,2.0215
2.049125,2.034875
2.0795,2.018125
2.047375,2.036125
2.07775,2.02125
2.052375,2.027875
2.058,2.043125
2.082875,2.04275
2.060125,2.0235
2.070125,2.02375
2.08525,2.038125
2.055625,2.026375
2.07525,2.039
2.086625,2.036125
2.091,2.045
2.069375,2.040375
2.0755,2.037
2.088625,2.046125
2.079625,2.03125
2.081625,2.050875
2.077,2.03925
2.075375,2.034125
2.067875,2.04525
2.06825,2.035375
2.071125,2.054125
2.069125,2.040375
2.070125,2.043625
2.07625,2.0605
2.092625,2.046125
2.074,2.051375
2.082125,2.062875
2.088375,2.055875
2.071875,2.047375
2.1075,2.044
2.104625,2.047375
2.09125,2.049875
2.07775,2.061125
2.092125,2.068375
2.07825,2.055625
2.100125,2.05275
2.103875,2.0635
2.088375,2.066875
2.098875,2.052625
2.099125,2.057375
2.109375,2.06625
2.1165,2.059125
2.11275,2.060625
2.107,2.075875
2.086,2.07125
2.0955,2.071
2.089375,2.077125
2.085125,2.0745
2.12125,2.080875
2.10325,2.0735
2.10175,2.070875
2.08925,2.081
2.10725,2.076125
2.111625,2.074875
2.096,2.077
2.101625,2.075125
2.10675,2.073625
2.127125,2.077875
2.0985,2.080875
2.114875,2.073875
2.112,2.086875
2.1225,2.086125
2.13275,2.08775
2.125625,2.0735
2.111125,2.094125
2.124625,2.09475
2.13475,2.08525
2.11675,2.0765
2.115125,2.0875
2.114375,2.098
2.139875,2.096375
2.110875,2.093
2.129125,2.0865
2.121,2.0945
2.107,2.091
2.144625,2.089875
2.126875,2.088625
2.12275,2.096375
2.1145,2.096125
2.1405,2.089625
2.114875,2.087
2.132125,2.097125
2.13525,2.095375
2.123875,2.108
2.13675,2.0895
2.137625,2.105375
2.14975,2.102125
2.1225,2.095875
2.1235,2.105625
2.13575,2.110375
2.14075,2.114
2.13675,2.110375
2.152875,2.115625
2.12325,2.11425
2.123,2.11175
2.153375,2.117625
2.147,2.108125
2.14225,2.1055
2.130375,2.101875
2.140875,2.0985
2.15275,2.10825
2.13475,2.103625
2.14675,2.114375
2.135625,2.108625
2.155625,2.11625
2.160375,2.118875
2.160375,2.115875
2.16375,2.111375
2.14175,2.121375
2.142125,2.118875
2.157625,2.1185
2.134625,2.129125
2.13625,2.116375
2.15625,2.130625
2.149,2.124125
2.1735,2.117625
2.145625,2.11375
2.1485,2.118125
2.167625,2.124875
2.16075,2.13275
2.14175,2.11375
2.175625,2.1295
2.162875,2.13525
2.14575,2.135625
2.180125,2.126875
2.144375,2.125875
2.17825,2.119875
2.178125,2.12725
2.15675,2.11925
2.184,2.128125
2.179875,2.1275
2.164625,2.131875
2.16175,2.132125
2.18625,2.13625
2.178375,2.14475
2.172,2.14525
