tmp117_0_C,tmp117_1_C,tmp117_2_C,tmp117_3_C
-8.4219,-5.9609,-10.2422,-4.3047
-8.375,-5.9609,-10.1562,-4.2656
-8.3359,-5.9609,-10.1953,-4.2734
-8.3203,-5.9609,-10.1641,-4.1953
-8.2656,-5.9453,-10.1328,-4.2734
-8.2969,-5.9531,-10.0469,-4.2031
-8.2656,-5.8359,-10.0938,-4.1406
-8.3047,-5.8516,-10.1016,-4.2031
-8.2812,-5.8516,-10.0859,-4.1953
-8.2812,-5.7891,-9.9688,-4.0859
-8.2344,-5.8594,-9.9688,-4.1094
-8.1484,-5.8438,-9.9688,-4.0391
-8.1641,-5.7109,-9.9141,-4.0391
-8.1797,-5.7109,-9.8984,-3.9844
-8.1484,-5.7734,-9.9531,-4.0234
-8.1406,-5.7422,-9.8984,-3.9844
-8.0781,-5.7188,-9.8516,-4.0078
-8.0938,-5.6875,-9.8281,-3.9062
-8.0469,-5.6328,-9.8984,-3.9375
-7.9922,-5.6484,-9.8125,-3.9062
-8.0156,-5.5859,-9.7578,-3.9453
-7.9922,-5.6094,-9.7969,-3.9062
-7.9375,-5.5859,-9.8047,-3.8594
-7.9141,-5.5703,-9.75,-3.8984
-7.875,-5.4609,-9.7734,-3.7969
-7.8594,-5.5469,-9.6328,-3.7734
-7.9375,-5.5078,-9.6328,-3.8281
-7.8672,-5.4688,-9.6953,-3.6953
-7.7734,-5.375,-9.5859,-3.7422
-7.7734,-5.4531,-9.6172,-3.7422
-7.7656,-5.3438,-9.625,-3.6641
-7.75,-5.3672,-9.5234,-3.7109
-7.8125,-5.3125,-9.5859,-3.6797
-7.6719,-5.3438,-9.5625,-3.6797
-7.6719,-5.25,-9.4688,-3.5781
-7.6875,-5.25,-9.5391,-3.5781
-7.7188,-5.2891,-9.4375,-3.5312
-7.6328,-5.2422,-9.4766,-3.5391
-7.6797,-5.2656,-9.4609,-3.5469
-7.6094,-5.2578,-9.3906,-3.5156
-7.5391,-5.1406,-9.3906,-3.4297
-7.5547,-5.1797,-9.3984,-3.4844
-7.5625,-5.1797,-9.3125,-3.4141
-7.5547,-5.0625,-9.3359,-3.4453
-7.4609,-5.0469,-9.3438,-3.3438
-7.4219,-5.1172,-9.2344,-3.3203
-7.4141,-5.0703,-9.2266,-3.375
-7.4531,-5.0703,-9.2344,-3.4062
-7.4609,-5.0547,-9.2812,-3.3516
-7.3594,-4.9922,-9.1797,-3.3516
-7.3516,-5.0,-9.2422,-3.2422
-7.3906,-4.9062,-9.1953,-3.2812
-7.2812,-4.9453,-9.1094,-3.1797
-7.375,-4.9688,-9.1172,-3.1641
-7.3047,-4.8984,-9.0547,-3.25
-7.2266,-4.9141,-9.0469,-3.1172
-7.2031,-4.8516,-9.0312,-3.1875
-7.2969,-4.875,-9.0547,-3.1719
-7.1797,-4.8438,-8.9609,-3.1094
-7.2109,-4.8438,-9.0391,-3.0781
-7.2188,-4.7109,-8.9219,-3.0391
-7.1328,-4.75,-8.9375,-3.0078
-7.1172,-4.7578,-8.9375,-3.0156
-7.125,-4.6484,-8.9688,-2.9688
-7.0703,-4.7344,-8.8984,-2.9453
-7.0234,-4.6094,-8.8594,-2.9688
-7.0625,-4.6016,-8.8672,-2.9141
-7.0,-4.5703,-8.875,-2.9609
-7.0312,-4.6016,-8.8438,-2.9062
-7.0234,-4.5391,-8.7891,-2.8984
-6.9531,-4.5391,-8.7578,-2.8281
-6.8906,-4.5078,-8.6953,-2.8984
-6.8594,-4.5078,-8.6797,-2.7891
-6.8984,-4.5234,-8.7578,-2.8594
-6.8281,-4.4766,-8.625,-2.7969
-6.8516,-4.4453,-8.6719,-2.8047
-6.8203,-4.3906,-8.5703,-2.7031
-6.7656,-4.375,-8.5625,-2.6953
-6.8203,-4.4531,-8.5938,-2.7109
-6.7969,-4.3828,-8.5859,-2.6875
-6.6953,-4.2891,-8.5703,-2.6094
-6.7656,-4.3594,-8.5469,-2.6484
-6.6875,-4.2578,-8.5469,-2.5547
-6.7031,-4.2812,-8.4453,-2.6016
-6.6406,-4.2031,-8.4766,-2.5625
-6.6328,-4.25,-8.5,-2.6016
-6.6094,-4.2422,-8.4375,-2.5469
-6.6484,-4.25,-8.3828,-2.5078
-6.6172,-4.1719,-8.3594,-2.5156
-6.5938,-4.1875,-8.3984,-2.4531
-6.5469,-4.125,-8.3672,-2.4766
-6.4922,-4.0703,-8.3438,-2.3828
-6.4844,-4.0547,-8.2344,-2.3516
-6.4531,-4.0391,-8.3125,-2.4141
-6.4531,-4.0312,-8.3125,-2.4062
-6.4219,-4.0078,-8.2422,-2.2969
-6.3984,-3.9531,-8.2188,-2.3281
-6.4453,-3.9766,-8.2266,-2.2422
-6.3828,-3.9609,-8.2266,-2.2656
-6.375,-3.9844,-8.125,-2.2188
-6.2578,-3.9375,-8.1328,-2.2734
-6.3594,-3.9531,-8.0625,-2.2422
-6.25,-3.9375,-8.125,-2.1875
-6.2891,-3.8125,-8.0781,-2.1484
-6.1719,-3.8828,-8.0938,-2.1016
-6.2422,-3.7969,-7.9531,-2.1094
-6.2031,-3.8203,-8.0547,-2.125
-6.1562,-3.8203,-7.9375,-2.0625
-6.0859,-3.7812,-8.0078,-2.0391
-6.0703,-3.6875,-7.9531,-1.9844
-6.0469,-3.7188,-7.9453,-2.0156
-6.0938,-3.6406,-7.8438,-2.0469
-6.0,-3.6797,-7.8516,-1.9688
-6.0078,-3.6172,-7.8594,-1.9375
-6.0312,-3.6719,-7.8281,-1.9062
-6.0391,-3.6094,-7.8594,-1.8984
-6.0156,-3.5469,-7.7422,-1.8359
-5.9531,-3.4922,-7.75,-1.8828
-5.8828,-3.5234,-7.7812,-1.8516
-5.9062,-3.4922,-7.7031,-1.7812
-5.9453,-3.4453,-7.625,-1.7578
-5.8438,-3.4141,-7.6562,-1.7188
-5.8438,-3.5078,-7.6016,-1.6875
-5.7656,-3.3594,-7.625,-1.7344
-5.7734,-3.4219,-7.625,-1.7578
-5.7656,-3.3359,-7.6094,-1.7109
-5.7578,-3.3594,-7.6172,-1.7109
-5.7578,-3.2969,-7.5938,-1.6953
-5.75,-3.2969,-7.4844,-1.6562
-5.6641,-3.2422,-7.4297,-1.6328
-5.6094,-3.3125,-7.5,-1.6328
-5.6953,-3.2344,-7.4219,-1.5
-5.6797,-3.2344,-7.4141,-1.5
-5.5625,-3.1875,-7.4219,-1.5547
-5.6016,-3.1406,-7.4062,-1.4297
-5.5703,-3.1094,-7.3281,-1.4219
-5.5625,-3.1172,-7.3594,-1.4922
-5.4531,-3.1797,-7.3203,-1.4766
-5.5156,-3.0469,-7.2422,-1.3359
-5.4219,-3.0625,-7.3125,-1.4219
-5.5078,-3.0234,-7.2891,-1.3672
-5.4375,-3.0625,-7.2891,-1.2969
-5.375,-2.9688,-7.2656,-1.25
-5.3984,-3.0469,-7.2344,-1.2266
-5.375,-3.0234,-7.2266,-1.2344
-5.3203,-2.9922,-7.1641,-1.2422
-5.3359,-2.9453,-7.1172,-1.1953
-5.2734,-2.9141,-7.0469,-1.1875
-5.2344,-2.9219,-7.1328,-1.1953
-5.2031,-2.8125,-7.0156,-1.1953
-5.1719,-2.7812,-7.0078,-1.0938
-5.1562,-2.8281,-6.9844,-1.0703
-5.1797,-2.8281,-6.9844,-1.0469
-5.1406,-2.7109,-7.0234,-1.125
-5.1406,-2.7734,-7.0,-1.0
-5.1406,-2.7812,-6.9688,-1.0391
-5.0703,-2.6406,-6.9375,-0.9375
-5.0781,-2.7344,-6.8125,-1.0391
-4.9922,-2.6797,-6.8906,-0.9297
-5.0547,-2.6484,-6.8672,-0.8984
-4.9453,-2.6172,-6.75,-0.9375
-4.9375,-2.5469,-6.7578,-0.8359
-4.9609,-2.6172,-6.7656,-0.8672
-4.9219,-2.5,-6.7344,-0.8516
-4.9219,-2.5781,-6.6562,-0.8594
-4.8594,-2.4609,-6.6797,-0.75
-4.875,-2.4922,-6.6562,-0.8125
-4.8047,-2.4453,-6.6797,-0.7891
-4.7891,-2.4922,-6.5938,-0.6719
-4.8516,-2.4297,-6.6172,-0.6562
-4.7734,-2.3281,-6.5547,-0.6484
-4.8047,-2.3828,-6.5469,-0.6953
-4.7812,-2.3906,-6.5938,-0.6016
-4.7109,-2.2891,-6.5156,-0.6406
-4.7578,-2.25,-6.4453,-0.6328
-4.6719,-2.3203,-6.4844,-0.6328
-4.6484,-2.2031,-6.3984,-0.6094
-4.6562,-2.2422,-6.3828,-0.5312
-4.5859,-2.1875,-6.4297,-0.5156
-4.625,-2.1719,-6.3516,-0.4609
-4.5547,-2.1094,-6.4219,-0.4141
-4.5469,-2.1484,-6.3359,-0.4219
-4.5391,-2.1484,-6.3359,-0.3594
-4.5078,-2.0312,-6.2656,-0.4453
-4.4297,-2.0703,-6.2656,-0.3359
-4.5,-2.0703,-6.2969,-0.2891
-4.4375,-2.0859,-6.2188,-0.3906
-4.3672,-1.9922,-6.2344,-0.3125
-4.375,-1.9844,-6.1562,-0.3438
-4.3281,-2.0078,-6.1484,-0.2969
-4.3281,-1.9141,-6.1484,-0.2266
-4.3281,-1.9219,-6.125,-0.2734
-4.3125,-1.8359,-6.1328,-0.1484
-4.2266,-1.8516,-6.0312,-0.2031
-4.2188,-1.8359,-6.0156,-0.1641
-4.2812,-1.8828,-5.9844,-0.0938
-4.1719,-1.8125,-5.9609,-0.1484
-4.1797,-1.7578,-5.9531,-0.0156
-4.1328,-1.8203,-5.9844,-0.0391
-4.125,-1.7578,-5.9453,-0.0469
-4.0625,-1.6641,-5.9141,-0.0703
-4.1484,-1.7266,-5.875,0.0625
-4.1172,-1.6172,-5.8672,0.0
-4.0859,-1.6562,-5.8906,0.0234
-4.0391,-1.6641,-5.8438,0.0703
-4.0156,-1.5781,-5.8594,0.1094
-3.9922,-1.5859,-5.7422,0.0625
-3.9141,-1.5859,-5.8047,0.1094
-3.8828,-1.5234,-5.7578,0.2109
-3.9688,-1.4688,-5.7344,0.25
-3.9453,-1.4844,-5.6719,0.2422
-3.875,-1.4844,-5.6484,0.2578
-3.8125,-1.4219,-5.5859,0.2188
-3.7734,-1.4531,-5.6797,0.2266
-3.8047,-1.3672,-5.5938,0.3672
-3.7109,-1.3984,-5.6172,0.3828
-3.7578,-1.2969,-5.5547,0.3516
-3.7734,-1.3125,-5.5859,0.3281
-3.6719,-1.3594,-5.4922,0.4062
-3.6562,-1.2891,-5.4219,0.4531
-3.625,-1.2656,-5.3984,0.5
-3.6641,-1.2109,-5.3828,0.5234
-3.5781,-1.1797,-5.4297,0.5391
-3.625,-1.1484,-5.3359,0.5625
-3.5938,-1.1328,-5.4141,0.4766
-3.5547,-1.1953,-5.3594,0.5
-3.5625,-1.1328,-5.3281,0.5469
-3.5156,-1.0859,-5.2578,0.6172
-3.5234,-1.0312,-5.2969,0.6094
-3.4922,-1.0703,-5.2031,0.6953
-3.4766,-1.0703,-5.2266,0.6719
-3.3438,-1.0469,-5.1875,0.7031
-3.4453,-0.9297,-5.1719,0.6875
-3.3203,-0.9219,-5.2188,0.7891
-3.3281,-0.9688,-5.0938,0.7031
-3.3438,-0.9609,-5.1641,0.8047
-3.3281,-0.9297,-5.0938,0.8672
-3.2188,-0.8359,-5.0469,0.8203
-3.1953,-0.9062,-5.0938,0.8984
-3.1641,-0.8594,-5.0547,0.8516
-3.1719,-0.7344,-4.9453,0.875
-3.2031,-0.7188,-4.9453,0.9609
-3.2031,-0.7734,-4.8984,1.0
-3.1016,-0.7891,-4.9922,0.9375
-3.0859,-0.7188,-4.9062,0.9453
-3.0625,-0.7109,-4.8594,1.0469
-3.0,-0.6484,-4.8984,1.0
-3.0156,-0.5859,-4.8281,1.0703
-3.0625,-0.6406,-4.8203,1.125
-3.0,-0.5938,-4.8281,1.1562
-2.9062,-0.5469,-4.8203,1.0703
-2.9844,-0.4922,-4.7266,1.2188
-2.9688,-0.5547,-4.7344,1.2422
-2.9609,-0.5078,-4.6562,1.2109
-2.8125,-0.4688,-4.625,1.2578
-2.8594,-0.4297,-4.6406,1.2109
-2.8125,-0.4062,-4.6719,1.2578
-2.7656,-0.4688,-4.6484,1.2656
-2.8047,-0.4062,-4.5547,1.2969
-2.7422,-0.3516,-4.6094,1.2891
-2.7344,-0.375,-4.5547,1.3672
-2.7109,-0.3516,-4.4844,1.3906
-2.6484,-0.3125,-4.4609,1.4219
-2.7266,-0.2578,-4.4297,1.4297
-2.6719,-0.2734,-4.4922,1.4297
-2.6797,-0.2188,-4.4688,1.4375
-2.5547,-0.2344,-4.4531,1.5156
-2.5938,-0.1406,-4.4062,1.5391
-2.5312,-0.2109,-4.3438,1.6016
-2.5547,-0.0859,-4.2734,1.6094
-2.5625,-0.1172,-4.3125,1.6328
-2.5234,-0.1406,-4.2969,1.5859
-2.5,-0.0156,-4.2344,1.6328
-2.4531,-0.0156,-4.1719,1.6094
-2.3828,-0.0547,-4.1875,1.6953
-2.3359,0.0,-4.25,1.7734
-2.3516,0.0391,-4.1953,1.7266
-2.2812,0.0,-4.1484,1.75
-2.3203,0.1328,-4.0938,1.7734
-2.3516,0.0625,-4.1172,1.8594
-2.2188,0.1094,-4.0781,1.8359
-2.2109,0.1562,-4.0938,1.8203
-2.1641,0.2266,-4.0156,1.9062
-2.1484,0.25,-3.9922,1.8516
-2.1641,0.1641,-3.9688,1.9297
-2.1641,0.1875,-3.9453,1.9922
-2.0703,0.2188,-3.9609,1.9688
-2.1094,0.25,-3.8906,2.0547
-2.125,0.2656,-3.8828,2.0781
-2.1094,0.3359,-3.8594,2.0703
-2.0781,0.4219,-3.875,2.0703
-2.0,0.375,-3.8359,2.1172
-2.0,0.4375,-3.7422,2.1484
-2.0078,0.4844,-3.7266,2.1328
-1.9453,0.4062,-3.7656,2.1484
-1.9219,0.4297,-3.7812,2.1328
-1.8359,0.5,-3.75,2.1797
-1.8594,0.5703,-3.7109,2.1875
-1.9062,0.4922,-3.6016,2.2031
-1.875,0.5469,-3.6172,2.2734
-1.8125,0.6094,-3.6562,2.25
-1.7578,0.5703,-3.6328,2.2578
-1.7578,0.6719,-3.5234,2.3125
-1.7891,0.6094,-3.5938,2.3984
-1.7109,0.7344,-3.4922,2.3984
-1.6875,0.7422,-3.4766,2.4688
-1.6016,0.6875,-3.4141,2.4609
-1.6719,0.8203,-3.375,2.4219
-1.6328,0.7344,-3.4062,2.4453
-1.6406,0.75,-3.3594,2.5
-1.5547,0.8203,-3.3359,2.4844
-1.4844,0.8125,-3.3203,2.5625
-1.5,0.8828,-3.3594,2.6406
-1.5156,0.8516,-3.3438,2.5547
-1.4453,0.9766,-3.3125,2.6094
-1.4297,1.0,-3.1875,2.6719
-1.4688,1.0078,-3.2656,2.7266
-1.3906,1.0547,-3.1953,2.6797
-1.3594,0.9922,-3.1953,2.6797
-1.3984,1.1016,-3.1719,2.7734
-1.2812,1.0781,-3.1406,2.7266
-1.3047,1.1094,-3.1172,2.7344
-1.2266,1.125,-3.1328,2.8672
-1.2891,1.1328,-3.0938,2.8359
-1.2031,1.1562,-3.0938,2.8516
-1.1953,1.1484,-2.9531,2.875
-1.2109,1.2578,-2.9375,2.8828
-1.1562,1.2969,-3.0078,2.875
-1.1797,1.2969,-2.9609,2.9844
-1.1797,1.3281,-2.875,3.0078
-1.1484,1.2891,-2.9375,3.0625
-1.1328,1.3125,-2.9219,3.0859
-1.0078,1.2891,-2.8359,3.0312
-0.9609,1.3125,-2.8203,3.125
-0.9766,1.3984,-2.7891,3.0469
-1.0,1.4453,-2.7891,3.1406
-0.9844,1.4141,-2.7812,3.0938
-0.8984,1.4688,-2.7656,3.1641
-0.875,1.5469,-2.7031,3.1484
-0.8906,1.5703,-2.7344,3.1562
-0.9062,1.6016,-2.6953,3.1797
-0.7969,1.5547,-2.6406,3.3047
-0.7578,1.6484,-2.5703,3.2812
-0.7266,1.6016,-2.5938,3.2734
-0.8203,1.6094,-2.625,3.2969
-0.7266,1.6406,-2.5391,3.3984
-0.6953,1.6953,-2.5547,3.4141
-0.6328,1.6875,-2.5312,3.4609
-0.6641,1.75,-2.4844,3.4688
-0.6797,1.7344,-2.3906,3.4688
-0.5859,1.8281,-2.4375,3.4297
-0.5469,1.7656,-2.3438,3.5469
-0.6328,1.8047,-2.3984,3.4688
-0.5078,1.8984,-2.3359,3.5625
-0.5078,1.9062,-2.3438,3.6172
-0.4844,1.9531,-2.3594,3.6484
-0.4375,1.9219,-2.2344,3.5703
-0.4531,1.8984,-2.2969,3.6172
-0.4297,2.0078,-2.2891,3.7109
-0.4688,2.0078,-2.1641,3.6484
-0.3516,2.0156,-2.2422,3.7812
-0.3672,1.9922,-2.1484,3.7344
-0.3672,2.1094,-2.1719,3.7578
-0.3359,2.0469,-2.1484,3.7969
-0.2891,2.125,-2.1094,3.8359
-0.3203,2.1797,-2.0781,3.8672
-0.2812,2.1016,-2.0078,3.8594
-0.1719,2.1641,-1.9922,3.9453
-0.2266,2.2578,-2.0469,3.9688
-0.1953,2.2734,-2.0234,3.875
-0.1016,2.2109,-1.9219,4.0
-0.0859,2.3047,-1.9688,3.9688
-0.1016,2.3438,-1.9531,4.0469
-0.0391,2.3828,-1.8984,3.9922
-0.0234,2.3828,-1.8672,4.0469
-0.0391,2.3672,-1.8438,4.1094
-0.0312,2.3906,-1.75,4.0391
0.0469,2.4141,-1.7422,4.0625
0.0781,2.4062,-1.7578,4.0859
0.0859,2.4531,-1.6797,4.125
0.1094,2.5,-1.6406,4.1562
0.0781,2.5547,-1.6797,4.1875
0.0938,2.5156,-1.6953,4.2344
0.2266,2.5703,-1.5781,4.2656
0.2344,2.6328,-1.625,4.2812
0.2188,2.6797,-1.6328,4.3203
0.2422,2.6328,-1.5078,4.3516
0.3125,2.625,-1.4844,4.3984
0.3203,2.6875,-1.5625,4.4375
0.3203,2.6953,-1.5234,4.4297
0.3359,2.7891,-1.4453,4.3984
0.3906,2.7109,-1.4922,4.5234
0.3359,2.8125,-1.375,4.4688
0.4609,2.8672,-1.3594,4.5625
0.4609,2.7812,-1.3906,4.5703
0.4453,2.8203,-1.3516,4.6172
0.5391,2.9219,-1.3516,4.5781
0.5469,2.9531,-1.2656,4.6328
0.4688,2.9609,-1.2734,4.6094
0.5,2.9922,-1.1953,4.6094
0.5391,3.0078,-1.25,4.625
0.6094,2.9922,-1.1484,4.6875
0.5859,2.9922,-1.1875,4.7578
0.6172,3.1016,-1.0938,4.7422
0.6641,3.0312,-1.1562,4.7812
0.6875,3.1094,-1.0938,4.7578
0.7734,3.1641,-1.0547,4.7578
0.7031,3.1641,-1.1172,4.8359
0.75,3.1562,-1.0938,4.8594
0.8516,3.1562,-0.9844,4.875
0.8281,3.1953,-0.9844,4.8594
0.8359,3.2891,-0.9375,4.9531
0.8047,3.2578,-0.8906,4.9375
0.9141,3.3125,-0.9531,5.0234
0.9453,3.3438,-0.9219,5.0625
0.9609,3.3359,-0.8281,5.0703
0.9688,3.3359,-0.8281,5.0391
0.9297,3.3906,-0.7812,5.1172
1.0,3.4141,-0.75,5.1719
1.0234,3.3984,-0.8281,5.1484
1.0,3.4766,-0.8047,5.1562
1.0547,3.4844,-0.6953,5.1641
1.1094,3.4766,-0.6953,5.1484
1.1641,3.5625,-0.6953,5.2109
1.1172,3.6172,-0.6719,5.2656
1.1719,3.5312,-0.6328,5.3438
1.1641,3.6328,-0.6328,5.2656
1.25,3.6562,-0.6328,5.3281
1.25,3.7031,-0.5547,5.3438
1.2344,3.7266,-0.5234,5.3984
1.3594,3.7031,-0.4531,5.3438
1.375,3.7344,-0.4922,5.4062
1.2891,3.6875,-0.3984,5.4219
1.375,3.7734,-0.4453,5.4531
1.3672,3.8281,-0.4141,5.4766
1.4141,3.8594,-0.3906,5.5078
1.4062,3.7891,-0.3906,5.5469
1.4062,3.9219,-0.3516,5.5625
1.4766,3.8438,-0.3672,5.5938
1.4688,3.9688,-0.2891,5.625
1.5391,3.9219,-0.2188,5.6406
1.5234,3.9141,-0.1953,5.6953
1.6016,4.0547,-0.1953,5.7109
1.6562,3.9688,-0.2422,5.7031
1.5859,4.1016,-0.1172,5.7812
1.7109,4.0703,-0.0859,5.8125
1.7344,4.0859,-0.0703,5.7656
1.6797,4.1406,-0.0781,5.875
1.7031,4.1562,0.0,5.8594
1.7031,4.1719,-0.0312,5.8203
1.7266,4.2109,0.0156,5.8672
1.8125,4.1797,0.0,5.8594
1.8906,4.2734,0.0859,5.9062
1.8438,4.2266,0.0078,6.0078
1.8281,4.3281,0.125,5.9922
1.875,4.2969,0.0625,6.0547
1.9531,4.3281,0.1016,5.9688
1.9609,4.3281,0.1328,6.1172
2.0156,4.3281,0.2266,6.0625
2.0156,4.3594,0.2344,6.1641
2.0078,4.4609,0.2266,6.1484
2.1016,4.4531,0.3125,6.1719
2.0938,4.4766,0.2578,6.1875
2.1328,4.4766,0.3516,6.1406
2.0859,4.4766,0.3125,6.2109
2.1484,4.5078,0.3359,6.2422
2.1719,4.625,0.4297,6.3047
2.1484,4.6406,0.3594,6.2734
2.1641,4.6719,0.3594,6.2812
2.1875,4.5938,0.4219,6.3672
2.2969,4.6484,0.4297,6.3672
